NFLX,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
803,650.24,657.58,2868311,665.82,649.705,660.1624,91294,2021-11-11 05:00:00
804,660.01,682.61,4198410,683.34,653.82,674.5088,118861,2021-11-12 05:00:00
805,681.235,679.33,2872186,685.2599,671.49,678.6871,98752,2021-11-15 05:00:00
806,678.27,687.4,2077387,688.3599,676.9,684.083,76867,2021-11-16 05:00:00
807,690,691.69,2732831,700.9894,686.09,692.8763,86150,2021-11-17 05:00:00
808,691.61,682.02,2014992,691.74,679.735,684.1867,71313,2021-11-18 05:00:00
809,692.35,678.8,2614852,694.16,675,683.5015,90629,2021-11-19 05:00:00
810,676.02,659.2,2765318,679.48,656.47,665.475,99464,2021-11-22 05:00:00
811,658.18,654.06,2320917,666.43,646.05,653.7608,83528,2021-11-23 05:00:00
812,658.01,658.29,1867282,661.44,651.1,658.0139,65567,2021-11-24 05:00:00
813,675,665.64,2872513,676.405,660.67,668.1421,82997,2021-11-26 05:00:00
814,663.2,663.84,2529364,667.99,658.29,663.2454,89311,2021-11-29 05:00:00
815,668.1975,641.9,5488919,675.38,640.01,649.1245,120646,2021-11-30 05:00:00
816,649.48,617.77,3897019,654.52,617.07,631.3374,131760,2021-12-01 05:00:00
817,617.1,616.47,3331131,625.36,612.88,617.6013,106531,2021-12-02 05:00:00
818,622.75,602.13,4829282,625.5,594,601.5676,150231,2021-12-03 05:00:00
819,606.01,612.69,3075672,617.29,601,611.2145,100148,2021-12-06 05:00:00
820,619.83,625.58,3125190,628.89,611.4,621.3392,97200,2021-12-07 05:00:00
821,630,628.08,2220308,632.455,623.2,628.7527,64087,2021-12-08 05:00:00
822,627.58,611,2375446,630.24,610.44,615.801,78510,2021-12-09 05:00:00
823,616.78,611.66,2743699,617.74,605.88,610.5622,75882,2021-12-10 05:00:00
824,612,604.56,2517915,612.64,599.52,604.5004,81687,2021-12-13 05:00:00
825,598.71,597.99,2984536,602.29,588.13,594.7987,91190,2021-12-14 05:00:00
826,598.18,605.04,2866196,605.69,584.51,596.0374,93823,2021-12-15 05:00:00
827,597.09,591.06,3143217,602.8308,588,593.9419,96689,2021-12-16 05:00:00
828,591.61,586.73,4433706,593.25,581.74,587.8555,92857,2021-12-17 05:00:00
829,586.43,593.74,3358404,602.8847,584.26,593.9432,113597,2021-12-20 05:00:00
830,597.5434,604.92,2319390,607.82,593.8611,602.0139,80992,2021-12-21 05:00:00
831,603.36,614.24,2335745,614.82,602.63,611.697,75873,2021-12-22 05:00:00
832,616.4,614.09,1621146,616.88,607.57,613.6915,56603,2021-12-23 05:00:00
833,615,613.12,2062233,615,609.25,612.9368,63446,2021-12-27 05:00:00
834,614.95,610.71,1884116,618.41,609.69,613.0725,74645,2021-12-28 05:00:00
835,610.71,610.54,1287513,613.98,604.68,609.128,52559,2021-12-29 05:00:00
836,612.99,612.09,1625093,620.61,611.2401,615.6539,59908,2021-12-30 05:00:00
837,610.01,602.44,1995918,614.075,602.05,605.2859,63554,2021-12-31 05:00:00
838,605.61,597.37,3065008,609.99,590.56,597.6652,104197,2022-01-03 05:00:00
839,599.91,591.15,4393135,600.4099,581.6,588.7572,136108,2022-01-04 05:00:00
840,592,567.52,4148749,592.84,566.88,575.5821,130362,2022-01-05 05:00:00
841,554.34,553.29,5711795,563.36,542.01,553.6506,165529,2022-01-06 05:00:00
842,549.46,541.06,3382873,553.43,538.2175,542.8876,107101,2022-01-07 05:00:00
843,538.49,539.85,4486145,543.69,526.32,535.7491,124186,2022-01-10 05:00:00
844,536.99,540.84,3077836,543.91,530.07,538.8113,103291,2022-01-11 05:00:00
845,544.27,537.22,3787372,544.27,532.02,537.5672,114573,2022-01-12 05:00:00
846,537.06,519.2,4475063,540.79,518.26,525.3403,127812,2022-01-13 05:00:00
847,517.6,525.69,7861109,538.37,511.88,525.5745,191413,2022-01-14 05:00:00
848,520.08,510.8,4840043,521.75,508.68,513.1059,146017,2022-01-18 05:00:00
849,515,515.86,4353508,523.21,510.51,516.4826,121458,2022-01-19 05:00:00
850,517.7498,508.25,12658993,526.64,506.93,465.8039,321269,2022-01-20 05:00:00
851,400.425,397.5,58830866,409.1499,379.99,395.0306,1095351,2022-01-21 05:00:00
852,383.91,387.15,32377182,387.26,351.46,369.1202,610328,2022-01-24 05:00:00
853,379.14,366.42,15139316,387.71,365.13,372.1868,337909,2022-01-25 05:00:00
854,378.27,359.7,12678131,382.66,356.62,371.7943,290347,2022-01-26 05:00:00
855,382.06,386.7,24313347,394.8,378.1,386.6002,437256,2022-01-27 05:00:00
856,386.76,384.36,11894305,387,372.08,379.8432,262462,2022-01-28 05:00:00
857,401.97,427.14,20034702,427.7,398.2,417.6651,405080,2022-01-31 05:00:00
858,432.96,457.13,22228099,458.48,425.5401,444.1371,401430,2022-02-01 05:00:00
859,448.25,429.48,14346010,451.98,426.48,435.5684,327767,2022-02-02 05:00:00
860,421.44,405.6,9905210,429.26,404.28,413.4559,236146,2022-02-03 05:00:00
861,407.31,410.17,7789798,412.77,396.6391,406.4529,197693,2022-02-04 05:00:00
862,410.17,402.1,8158859,412.35,393.55,401.3745,200734,2022-02-07 05:00:00
863,398.18,403.53,6818543,406.61,395.83,402.1151,154934,2022-02-08 05:00:00
864,408.65,412.89,7732897,412.98,398.79,407.3955,184921,2022-02-09 05:00:00
865,402.1,406.27,8452915,408,396.36,403.4225,215246,2022-02-10 05:00:00
866,405.33,391.31,7558939,411.6103,387.65,396.0924,187457,2022-02-11 05:00:00
