MATICUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
417,0.8319,0.8987,19034911.9687616,0.9043,0.8206,0.8597,48035,2022-10-23
418,0.8984,0.8931,38323104.8589655,0.9088,0.872,0.8926,53111,2022-10-24
419,0.8931,0.9176,43310484.7000009,0.9485,0.8746,0.9124,58916,2022-10-25
420,0.9179,0.9384,35204713.2467449,0.96823,0.9177,0.9439,54534,2022-10-26
421,0.93813,0.90385,31408905.8278638,0.9479,0.8938,0.9234,58024,2022-10-27
422,0.9036,0.9445,28221911.3169134,0.94768,0.8946,0.922,56557,2022-10-28
423,0.9444,0.934,26530521.7008649,0.95947,0.9263,0.9402,55437,2022-10-29
424,0.934,0.9085,24939871.6079279,0.95,0.8989,0.9231,49242,2022-10-30
425,0.9087,0.9029,24047793.8924789,0.93011,0.893,0.91,48909,2022-10-31
426,0.9028,0.874,22251102.7436244,0.91003,0.873,0.8904,67036,2022-11-01
427,0.874,0.8735,54532563.7718051,0.897,0.8364,0.8619,122878,2022-11-02
428,0.8736,0.9511,78394294.9452211,0.9912,0.8684,0.9449,160130,2022-11-03
429,0.9509,1.1692,117371915.592378,1.1995,0.9503,1.1081,227022,2022-11-04
430,1.1694,1.1848,75717520.3398809,1.3042,1.1526,1.2117,133730,2022-11-05
431,1.185,1.135,51843152.2989519,1.2164,1.1311,1.1647,96843,2022-11-06
432,1.136,1.2572,84123917.9784655,1.2918,1.1288,1.2197,163788,2022-11-07
433,1.2573,1.0447,158846696.447069,1.275,0.89857,1.1082,255102,2022-11-08
434,1.0442,0.8152,160990166.159183,1.0717,0.761,0.9054,279886,2022-11-09
435,0.8152,1.1213,158704042.735855,1.1587,0.8004,1,259250,2022-11-10
436,1.1208,1.0624,107492946.564349,1.1565,0.9671,1.0513,228715,2022-11-11
437,1.0626,0.9379,72370113.4346698,1.0653,0.924,0.9676,175697,2022-11-12
438,0.9379,0.8883,61527129.6793195,0.96683,0.8641,0.9064,123225,2022-11-13
