PLTR,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
378,13.9,13.73,22839957,14.06,13.63,13.8355,87064,2022-03-31 04:00:00
379,13.77,13.83,23831607,14.065,13.5,13.7563,104012,2022-04-01 04:00:00
380,14.03,14.63,40124782,14.66,14.02,14.4616,147545,2022-04-04 04:00:00
381,14.61,13.89,37677310,14.86,13.795,14.2079,153903,2022-04-05 04:00:00
382,13.52,13,40647687,13.54,12.85,13.0766,175251,2022-04-06 04:00:00
383,12.95,12.84,34727408,13.34,12.48,12.8656,126600,2022-04-07 04:00:00
384,12.7,12.7,24962502,13.05,12.57,12.8035,106391,2022-04-08 04:00:00
385,12.45,12.66,26095830,12.82,12.13,12.5872,112647,2022-04-11 04:00:00
386,12.88,12.46,26226526,13.2,12.425,12.7855,113275,2022-04-12 04:00:00
387,12.35,12.9,21152882,12.94,12.2311,12.764,87399,2022-04-13 04:00:00
388,12.92,12.42,23284123,12.92,12.41,12.5433,80198,2022-04-14 04:00:00
389,12.35,12.15,25395600,12.415,11.88,12.1002,102618,2022-04-18 04:00:00
390,12.08,12.91,31753902,13.02,12.07,12.7713,129164,2022-04-19 04:00:00
391,13.08,12.79,31528605,13.17,12.74,12.9087,128923,2022-04-20 04:00:00
392,13.02,12.33,32008952,13.33,12.225,12.6496,132553,2022-04-21 04:00:00
393,12.33,11.96,30357878,12.73,11.86,12.1748,137365,2022-04-22 04:00:00
394,11.83,12.11,31727574,12.16,11.68,11.9827,131414,2022-04-25 04:00:00
395,11.94,11.12,38666484,12.05,11.1,11.3076,166563,2022-04-26 04:00:00
396,11.01,10.56,54508483,11.195,10.53,10.7574,196675,2022-04-27 04:00:00
397,10.69,10.95,40070309,11.045,10.37,10.7324,167568,2022-04-28 04:00:00
398,10.9,10.4,30937495,11.23,10.36,10.733,117891,2022-04-29 04:00:00
399,10.38,10.74,41193848,10.755,10.18,10.4689,153148,2022-05-02 04:00:00
400,10.69,10.55,31372676,10.98,10.44,10.6441,115374,2022-05-03 04:00:00
401,10.53,10.98,43206843,11.01,10.08,10.4673,155447,2022-05-04 04:00:00
402,10.8,10.12,40523644,10.8,9.98,10.2488,163431,2022-05-05 04:00:00
403,10,9.48,69691303,10.05,9.42,9.6421,250309,2022-05-06 04:00:00
404,7.78,7.46,170871733,7.85,7.32,7.5595,502809,2022-05-09 04:00:00
405,7.56,7.29,86932388,7.7032,6.93,7.2591,266364,2022-05-10 04:00:00
406,7.28,6.71,72894876,7.54,6.66,6.9873,215803,2022-05-11 04:00:00
407,6.55,7.34,82147335,7.38,6.44,7.0521,252235,2022-05-12 04:00:00
408,7.52,8.34,69242703,8.35,7.52,8.1233,200072,2022-05-13 04:00:00
409,8.17,8.04,46153164,8.43,8.01,8.1793,142496,2022-05-16 04:00:00
410,8.1,8.36,38620821,8.46,8.01,8.2446,117695,2022-05-17 04:00:00
411,8.21,8.01,29304567,8.43,7.92,8.118,92216,2022-05-18 04:00:00
412,7.97,8.31,35780868,8.5814,7.945,8.3552,110559,2022-05-19 04:00:00
413,8.26,8.08,40879105,8.4,7.71,8.0496,129247,2022-05-20 04:00:00
414,8.01,8.01,27755176,8.17,7.8,7.9857,95359,2022-05-23 04:00:00
415,7.98,7.55,47218653,7.99,7.37,7.5499,136038,2022-05-24 04:00:00
416,7.52,7.96,35068948,8.0183,7.51,7.8071,93294,2022-05-25 04:00:00
417,7.84,8.36,39738920,8.4,7.77,8.2149,98243,2022-05-26 04:00:00
418,8.5,8.85,37064602,8.85,8.4336,8.7023,105155,2022-05-27 04:00:00
419,8.97,8.68,41672271,9.1,8.56,8.7764,112671,2022-05-31 04:00:00
420,8.72,8.46,34438066,8.9785,8.38,8.6053,98806,2022-06-01 04:00:00
421,8.54,9.3,41479909,9.39,8.4606,9.1192,118492,2022-06-02 04:00:00
422,9.04,8.94,36632342,9.25,8.86,8.9925,100391,2022-06-03 04:00:00
423,9.11,8.98,35101113,9.21,8.78,8.9758,83866,2022-06-06 04:00:00
424,8.89,9.13,28049430,9.14,8.73,9.0011,75934,2022-06-07 04:00:00
425,9.18,9.18,29056310,9.42,9.09,9.2303,76536,2022-06-08 04:00:00
426,9.13,8.68,30588227,9.16,8.67,8.8674,84016,2022-06-09 04:00:00
427,8.48,8.26,30293236,8.58,8.14,8.2954,97445,2022-06-10 04:00:00
428,7.99,7.64,40942971,8,7.5,7.6622,129203,2022-06-13 04:00:00
429,7.735,7.82,30564136,7.98,7.585,7.8156,82840,2022-06-14 04:00:00
430,7.92,8.12,38235303,8.3,7.815,8.0512,100636,2022-06-15 04:00:00
431,7.84,7.67,36793539,7.985,7.58,7.6871,92569,2022-06-16 04:00:00
432,7.7,8.24,45517993,8.33,7.69,8.1208,107281,2022-06-17 04:00:00
433,8.59,8.71,48887634,9.05,8.56,8.8471,123236,2022-06-21 04:00:00
434,8.52,9.01,43486258,9.285,8.45,9.0753,105797,2022-06-22 04:00:00
435,9.02,9.46,44618047,9.5,8.84,9.2916,111833,2022-06-23 04:00:00
436,9.53,10.19,67826046,10.2,9.48,9.8892,139082,2022-06-24 04:00:00
