PYPL,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
251,110,111.46,5348782,111.63,109.51,111.1071,46686,2019-09-05 04:00:00
252,111.66,110.05,4676035,111.67,109.62,110.3409,41247,2019-09-06 04:00:00
253,110.62,105.43,10958990,110.77,103.9,105.8987,99293,2019-09-09 04:00:00
254,104.77,103.05,13428039,104.95,101.31,102.5955,111082,2019-09-10 04:00:00
255,104.15,104.02,7006282,104.48,103.11,103.7689,66993,2019-09-11 04:00:00
256,105.71,107.1,11585351,107.915,105.49,107.1684,83349,2019-09-12 04:00:00
257,106.66,107,8390194,107.29,105.25,106.5059,69935,2019-09-13 04:00:00
258,106.13,106.52,5215635,108.01,105.99,106.5898,49882,2019-09-16 04:00:00
259,106.81,107.5,4115933,107.8945,106.46,107.3241,41435,2019-09-17 04:00:00
260,107.78,105.6,6685977,107.8,103.73,105.2166,60839,2019-09-18 04:00:00
261,105.64,106.12,5247013,107.02,105.6,106.203,45295,2019-09-19 04:00:00
262,104.71,104.64,10707881,105.46,103.91,104.7221,61634,2019-09-20 04:00:00
263,104.73,105.11,3396306,105.32,104.35,105.0175,31055,2019-09-23 04:00:00
264,105.41,103.69,6444130,106.1,102.73,104.1025,61053,2019-09-24 04:00:00
265,103.34,104.14,5523936,104.4626,101.54,103.33,51166,2019-09-25 04:00:00
266,104.43,104.55,4780793,104.87,103.22,104.1972,43412,2019-09-26 04:00:00
267,104.87,102.2,7189838,105.17,101.1,102.4347,64092,2019-09-27 04:00:00
268,102.68,103.59,7512787,104.07,101.48,103.3516,55656,2019-09-30 04:00:00
269,104,102.53,5746364,104.6409,102.23,102.9286,52219,2019-10-01 04:00:00
270,101.81,99.73,8011727,101.83,99.3601,100.022,71808,2019-10-02 04:00:00
271,99.54,101.03,5343141,101.31,98.61,100.4379,49829,2019-10-03 04:00:00
272,101.84,102.79,5534673,102.98,100.84,102.4732,44091,2019-10-04 04:00:00
273,102.11,101.62,3829056,102.607,101.52,101.8986,39707,2019-10-07 04:00:00
274,100.85,99.33,7398352,101.15,99.25,99.9309,60568,2019-10-08 04:00:00
275,99.44,99.89,5038850,100.69,99.385,100.0349,49712,2019-10-09 04:00:00
276,99.4,100.54,4561588,101,99.4,100.4294,39399,2019-10-10 04:00:00
277,101.78,101.58,4781911,103.96,101.47,102.4643,49193,2019-10-11 04:00:00
278,101.59,101.75,3817790,102.35,101.3674,101.7828,25739,2019-10-14 04:00:00
279,102.01,103.59,4629287,103.66,101.9,103.2144,40054,2019-10-15 04:00:00
280,103,103.09,4363705,103.23,101.9,102.7776,41629,2019-10-16 04:00:00
281,103.89,103.63,4019239,104.34,102.84,103.5667,40601,2019-10-17 04:00:00
282,103.92,101.22,7261238,104.32,100.75,101.9573,59032,2019-10-18 04:00:00
283,102.36,101.44,6917672,102.73,100.465,101.2585,55523,2019-10-21 04:00:00
284,101.36,97.36,11384723,101.95,97.115,98.7506,94836,2019-10-22 04:00:00
285,97.42,96.64,17459600,97.6,94.77,96.9609,135830,2019-10-23 04:00:00
286,106.075,104.91,23817914,106.98,103.19,104.7713,170485,2019-10-24 04:00:00
287,104.46,107.19,12070921,107.49,104.42,106.7331,94630,2019-10-25 04:00:00
288,107.99,106.6,7004191,108.46,106.45,107.3424,62490,2019-10-28 04:00:00
