AMZN,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
308,87.6625,88.692,69789340,88.871,87.662,88.538,80698,2019-11-25 05:00:00
309,88.996,89.847,63808560,89.8515,88.9175,89.567,75234,2019-11-26 05:00:00
310,90.05,90.9255,60716920,91.225,89.8655,90.7498,80776,2019-11-27 05:00:00
311,90.889,90.04,38468800,91.2345,90.0395,90.5283,50537,2019-11-29 05:00:00
312,90.22,89.08,78635000,90.2775,88.134,88.9528,98797,2019-12-02 05:00:00
313,88,88.498,70591640,88.6435,87.3615,87.9147,95866,2019-12-03 05:00:00
314,88.7005,88.0345,53614000,89.4545,88.011,88.5702,74929,2019-12-04 05:00:00
315,88.175,87.024,56557040,88.175,87,87.3176,79766,2019-12-05 05:00:00
316,87.56,87.58,62399580,87.72,87.0065,87.4972,80588,2019-12-06 05:00:00
317,87.533,87.4755,50049780,88.3446,87.2805,87.7382,59491,2019-12-09 05:00:00
318,87.37,86.9605,50312880,87.5335,86.75,87.0873,69888,2019-12-10 05:00:00
319,87.0835,87.436,42026240,87.5,86.7855,87.1934,55148,2019-12-11 05:00:00
320,87.5,88.0165,62078980,88.2,87.272,87.8496,79212,2019-12-12 05:00:00
321,88.25,88.047,54958180,88.4495,87.75,88.1331,68192,2019-12-13 05:00:00
322,88.35,88.4605,62986900,88.475,87.8525,88.2155,72457,2019-12-16 05:00:00
323,88.9005,89.533,72933940,89.6,88.8695,89.2731,80858,2019-12-17 05:00:00
324,89.751,89.2015,66890140,89.91,89.118,89.482,65149,2019-12-18 05:00:00
325,89.025,89.614,54766400,89.6495,88.703,89.4085,57195,2019-12-19 05:00:00
326,89.9808,89.325,103049000,90.1485,89.1225,89.5924,72698,2019-12-20 05:00:00
327,89.413,89.65,42749860,89.65,89.2255,89.4841,48810,2019-12-23 05:00:00
328,89.6905,89.4605,17626740,89.7785,89.3788,89.554,24911,2019-12-24 05:00:00
329,90.0505,93.4385,119392160,93.523,89.975,92.2733,146641,2019-12-26 05:00:00
330,94.146,93.49,123775080,95.07,93.3005,94.2688,156072,2019-12-27 05:00:00
331,93.7,92.3445,73546120,94.2,92.031,92.7414,94747,2019-12-30 05:00:00
332,92.1,92.392,50207600,92.663,91.6115,92.2154,60717,2019-12-31 05:00:00
333,93.75,94.9005,80718200,94.9005,93.2075,94.1414,102920,2020-01-02 05:00:00
334,93.225,93.7485,75332080,94.3098,93.225,93.7714,99633,2020-01-03 05:00:00
335,93,95.144,81313960,95.1845,93,94.5998,104160,2020-01-06 05:00:00
336,95.225,95.343,82680200,95.6945,94.6022,95.1609,98636,2020-01-07 05:00:00
337,94.902,94.5985,70239320,95.55,94.3222,95.0249,95706,2020-01-08 05:00:00
338,95.4945,95.0525,63499240,95.891,94.7902,95.3013,84377,2020-01-09 05:00:00
339,95.2685,94.158,57139180,95.347,94,94.5505,82119,2020-01-10 05:00:00
340,94.5655,94.565,55716880,94.9,94.04,94.5453,78771,2020-01-13 05:00:00
341,94.294,93.472,68927620,94.3555,92.9275,93.5066,97321,2020-01-14 05:00:00
342,93.6125,93.101,57885840,93.943,92.7545,93.252,80354,2020-01-15 05:00:00
343,94.1495,93.897,53189860,94.2795,93.301,93.7344,71725,2020-01-16 05:00:00
344,94.2945,93.236,79946800,94.332,92.8625,93.3742,93115,2020-01-17 05:00:00
345,93.25,94.6,74155700,94.7135,93,93.9126,87934,2020-01-21 05:00:00
346,94.8045,94.373,64203140,95.125,94.167,94.6052,83692,2020-01-22 05:00:00
347,94.2555,94.229,49692260,94.4988,93.638,94.1327,63432,2020-01-23 05:00:00
348,94.5685,93.082,75323620,94.7495,92.372,93.4756,100541,2020-01-24 05:00:00
349,91,91.417,70570180,92.05,90.767,91.5622,94786,2020-01-27 05:00:00
350,92.025,92.6625,56160800,92.9055,91.501,92.3447,73642,2020-01-28 05:00:00
351,93.2,92.9,41981000,93.7375,92.751,93.1664,66279,2020-01-29 05:00:00
352,92.9,93.534,126548760,93.6435,92.5305,97.8476,198651,2020-01-30 05:00:00
353,102.5735,100.436,311315660,102.786,100.1135,101.6478,378587,2020-01-31 05:00:00
354,100.53,100.21,117981880,102.425,100.0125,101.1727,157552,2020-02-03 05:00:00
355,101.494,102.4835,105786760,102.99,100.7685,101.9276,140852,2020-02-04 05:00:00
356,103.551,101.9935,87475980,103.551,101.6,102.4013,120368,2020-02-05 05:00:00
357,102.051,102.5115,63659080,102.815,101.24,102.3442,82483,2020-02-06 05:00:00
358,102.0995,103.964,101906940,104.9265,101.905,103.8708,135486,2020-02-07 05:00:00
359,104.2505,106.6955,101123920,106.78,104.248,106.1041,135564,2020-02-10 05:00:00
360,107.545,107.54,114899920,109.2975,106.8,108.1379,153040,2020-02-11 05:00:00
361,108.16,108,66685280,109.0125,107.7645,108.3628,98748,2020-02-12 05:00:00
