SAM,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
722,958.72,936.43,243051,959.62,923.24,937.6484,9417,2021-07-20 04:00:00
723,940.63,930,288865,960.2,923.92,941.4508,10152,2021-07-21 04:00:00
724,936,947.54,522836,960.99,920.67,900.4184,22457,2021-07-22 04:00:00
725,725,701,2861634,745,693.21,717.1046,82728,2021-07-23 04:00:00
726,705,726.62,992472,740,687.1,720.8343,33408,2021-07-26 04:00:00
727,723.21,716.4,493587,731.58,709.01,717.1293,15175,2021-07-27 04:00:00
728,715.37,717.17,348592,731.7,707.26,717.0054,13053,2021-07-28 04:00:00
729,718.65,705.56,388841,728.01,701.5,709.937,14264,2021-07-29 04:00:00
730,702.94,710,409439,712.73,695.8,707.2611,13251,2021-07-30 04:00:00
731,710,715.87,377460,718.16,706.045,713.3996,10622,2021-08-02 04:00:00
732,716.89,678.09,459108,716.89,675.06,689.1269,19848,2021-08-03 04:00:00
733,676,660.21,469239,694.77,659.71,672.282,18087,2021-08-04 04:00:00
734,661.29,656.03,340210,666.99,653.57,658.5419,13486,2021-08-05 04:00:00
735,657.08,656.72,375517,666.198,653.86,660.2155,11196,2021-08-06 04:00:00
736,662.51,684.52,360897,690.35,659.31,681.1198,12091,2021-08-09 04:00:00
737,697.56,663.27,473160,697.56,660.06,671.8746,11903,2021-08-10 04:00:00
738,670,649.59,288640,670,645.35,652.9358,13244,2021-08-11 04:00:00
739,652.83,640,335027,654,634.2994,639.416,13549,2021-08-12 04:00:00
740,640.21,633.86,205604,651.335,632.39,640.0685,9808,2021-08-13 04:00:00
741,631,626.64,411521,638.98,618.8401,629.5737,12817,2021-08-16 04:00:00
742,622.42,627.99,435296,633.51,616.75,627.3199,10433,2021-08-17 04:00:00
743,630.11,604.83,387049,631,603.331,612.0094,13189,2021-08-18 04:00:00
744,604.72,597.86,376408,607.8699,593.4795,599.7061,12057,2021-08-19 04:00:00
745,596.13,588.12,391221,605.95,584.6,593.0653,13368,2021-08-20 04:00:00
746,591,605.06,273140,608.98,588.8088,602.3775,10183,2021-08-23 04:00:00
747,604.99,608.11,364597,611.885,589.14,602.4105,12382,2021-08-24 04:00:00
748,585.36,586.62,1182559,587.21,562.11,575.3663,32677,2021-08-25 04:00:00
749,591.52,586.19,410916,596.37,574.5,583.9941,15412,2021-08-26 04:00:00
750,586.01,585.11,259169,597.9,580.03,589.2386,9899,2021-08-27 04:00:00
751,585,576.72,252266,589.74,575.59,580.8135,9232,2021-08-30 04:00:00
752,582.51,570.21,368618,582.51,564.0001,570.2677,12419,2021-08-31 04:00:00
753,576.26,570.78,226269,585.505,569.38,575.433,10708,2021-09-01 04:00:00
754,571,562.39,226530,572.995,561.2501,565.2445,11787,2021-09-02 04:00:00
755,561,562.51,275445,568.19,555,561.5602,9988,2021-09-03 04:00:00
756,566.06,559.87,235269,569.3871,551.47,558.0212,10800,2021-09-07 04:00:00
757,556.65,559.4,309940,569.25,555.79,551.1867,14148,2021-09-08 04:00:00
758,515,538.31,1203795,545.58,510.2501,530.3379,31356,2021-09-09 04:00:00
759,539.28,542.82,461388,546.285,525.01,536.7128,15086,2021-09-10 04:00:00
760,545.4,543.71,356218,563.6408,540.41,550.0764,14132,2021-09-13 04:00:00
761,545,531.01,252613,548.86,526.55,535.0461,10894,2021-09-14 04:00:00
762,528.27,530.4,358472,539.04,522.24,530.3128,12578,2021-09-15 04:00:00
763,528.24,527.15,487557,535.01,514.8311,524.6645,14884,2021-09-16 04:00:00
764,527.99,517.06,342848,528.495,516.24,519.2053,10350,2021-09-17 04:00:00
765,511.08,524.36,316201,527.71,508.5,519.133,11153,2021-09-20 04:00:00
766,524.35,520.84,256205,532.08,515.71,522.6191,9033,2021-09-21 04:00:00
767,522.14,522.35,248372,530.44,517.3,524.2462,7755,2021-09-22 04:00:00
768,519.88,525.69,251149,528.65,515.16,522.2723,10097,2021-09-23 04:00:00
769,527.23,514.59,181405,527.23,514.06,517.2895,7173,2021-09-24 04:00:00
770,515.23,523.9,344383,532.12,514.97,525.7797,10680,2021-09-27 04:00:00
771,523.23,517.4,233193,526.77,510.405,515.5687,8843,2021-09-28 04:00:00
772,515,513.99,281786,515.57,503.3238,509.951,12141,2021-09-29 04:00:00
773,516.45,509.75,304800,526.09,508.41,513.2536,9529,2021-09-30 04:00:00
774,509.75,508.94,254607,516.85,501.14,508.9117,8532,2021-10-01 04:00:00
775,507.45,503.77,284513,508.99,496.86,502.4037,9070,2021-10-04 04:00:00
776,505.18,507.56,330769,509.78,497.62,504.8651,8656,2021-10-05 04:00:00
777,505.28,525.5,435634,525.5,501.84,516.7244,11814,2021-10-06 04:00:00
778,525.5,545,775601,556.68,525.5,548.0454,19694,2021-10-07 04:00:00
779,547.69,537.81,275513,551.015,533.225,541.057,11108,2021-10-08 04:00:00
780,540.26,536.36,206281,547.26,535.5877,540.1223,8066,2021-10-11 04:00:00
781,539.7,522.69,260161,542.95,519.6465,528.279,8793,2021-10-12 04:00:00
782,525.1,524.52,199768,531.77,521.45,525.231,7455,2021-10-13 04:00:00
