XRPUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
297,0.36705,0.3673,8783727.0265556,0.37406,0.35398,0.3635,13755,2022-06-25
298,0.36666,0.35951,11766778.6299798,0.3752,0.35756,0.3667,11315,2022-06-26
299,0.35925,0.35348,15561833.8369718,0.36735,0.34778,0.3565,12188,2022-06-27
300,0.35355,0.33734,27242417.5427953,0.3557,0.3349,0.3449,12830,2022-06-28
301,0.33727,0.32947,15368869.6173736,0.34152,0.32004,0.329,12680,2022-06-29
302,0.32922,0.33182,27014369.8455191,0.3331,0.30591,0.3187,17824,2022-06-30
303,0.33175,0.31415,13658506.2423359,0.33625,0.30948,0.3188,13134,2022-07-01
304,0.31419,0.31514,5927775.807956,0.31818,0.30915,0.3137,7499,2022-07-02
305,0.31536,0.32124,9055577.44579116,0.3256,0.30816,0.3177,9873,2022-07-03
306,0.32111,0.32809,5922038.01619421,0.32998,0.31439,0.3213,8751,2022-07-04
307,0.32818,0.325,6791343.70588922,0.33088,0.31218,0.3216,9723,2022-07-05
308,0.32487,0.33206,5567755.84854122,0.3339,0.31946,0.3256,10121,2022-07-06
309,0.33226,0.3419,14169817.6478827,0.34501,0.32663,0.3354,9733,2022-07-07
310,0.34189,0.34031,24564270.2875269,0.35879,0.3356,0.3469,20388,2022-07-08
311,0.34009,0.34478,3638514.66684989,0.34769,0.33901,0.3441,7497,2022-07-09
312,0.34478,0.32548,12669534.9581422,0.34501,0.31908,0.3294,11865,2022-07-10
313,0.3254,0.31496,19220111.9585362,0.32933,0.31,0.3225,13361,2022-07-11
314,0.31472,0.31141,8952765.5120408,0.31786,0.30739,0.3124,10706,2022-07-12
315,0.31141,0.32379,19786618.6046021,0.32595,0.30201,0.3125,17264,2022-07-13
316,0.32344,0.33334,7962391.92547007,0.33375,0.31241,0.3208,10796,2022-07-14
317,0.33369,0.33411,15989838.4022624,0.34892,0.32742,0.3369,14704,2022-07-15
318,0.33443,0.35063,18341918.9777718,0.35626,0.33125,0.3478,15178,2022-07-16
319,0.35071,0.34323,11509607.5053678,0.36159,0.3409,0.3519,13240,2022-07-17
320,0.3432,0.36554,15523547.8775512,0.37,0.34275,0.361,16199,2022-07-18
321,0.36527,0.37278,13966126.7755349,0.37675,0.35144,0.3644,14398,2022-07-19
322,0.37277,0.36291,16059052.439023,0.38165,0.3573,0.3689,14094,2022-07-20
323,0.36311,0.36706,8167420.52129575,0.36869,0.34836,0.3587,12274,2022-07-21
324,0.36694,0.35772,12370421.8750898,0.37163,0.35408,0.3639,12455,2022-07-22
