GOOG,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
760,143.201,143.465,20535080,144.191,142.2825,143.2694,55327,2021-09-13 04:00:00
761,144.161,143.406,19472740,144.7275,142.9055,143.5251,52806,2021-09-14 04:00:00
762,143.759,145.206,20988780,145.5815,142.256,144.3118,54497,2021-09-15 04:00:00
763,145.121,144.3735,20298840,145.2,143.4164,144.3605,50033,2021-09-16 04:00:00
764,143.7985,141.4635,60039820,144.2495,141.0615,141.9714,76753,2021-09-17 04:00:00
765,139.0002,139.017,34417720,139.3625,137.053,138.4371,94538,2021-09-20 04:00:00
766,140.117,139.6465,18129380,140.8116,138.9055,139.8901,49899,2021-09-21 04:00:00
767,140.0505,140.9385,22067800,141.5835,139.4718,140.7678,54930,2021-09-22 04:00:00
768,141.6095,141.8265,17276100,142.2525,141.0965,141.918,44421,2021-09-23 04:00:00
769,140.946,142.633,14949340,142.9035,140.8505,142.2617,40506,2021-09-24 04:00:00
770,141.5855,141.501,18844080,142.5,140.5,141.5661,49088,2021-09-27 04:00:00
771,139.0885,136.184,42168060,139.6065,135.7,136.6697,109125,2021-09-28 04:00:00
772,137.1097,134.521,26337220,137.3985,134.25,135.4191,73295,2021-09-29 04:00:00
773,134.325,133.2655,35914720,135.59,133,134.2493,83463,2021-09-30 04:00:00
774,133.5545,136.4625,28387300,137.071,133.3775,135.5741,65498,2021-10-01 04:00:00
775,135.6995,133.765,31529900,135.7,131.1665,132.9813,91903,2021-10-04 04:00:00
776,134,136.177,24126740,137.362,134,136.1384,57444,2021-10-05 04:00:00
777,134.6255,137.354,19764320,137.852,134.4865,136.6576,52678,2021-10-06 04:00:00
778,138.863,139.1855,18250460,140.1545,138.563,139.55,46143,2021-10-07 04:00:00
779,139.906,140.056,19202000,140.317,139.4293,139.935,41856,2021-10-08 04:00:00
780,139.8,138.8475,16584760,140.7636,138.8065,139.806,42677,2021-10-11 04:00:00
781,139.6375,136.713,22535020,139.695,136.25,137.0654,62138,2021-10-12 04:00:00
782,137.75,137.9,16393280,138.55,136.9765,137.8118,37731,2021-10-13 04:00:00
783,139.952,141.412,21437560,141.6515,139.339,141.0445,50328,2021-10-14 04:00:00
784,142.2,141.675,21253360,142.2,141.0645,141.5652,46603,2021-10-15 04:00:00
785,141.2135,142.9605,15567200,142.9988,141.2135,142.4027,47660,2021-10-18 04:00:00
786,143.2915,143.822,15315840,144.107,143.096,143.6651,42889,2021-10-19 04:00:00
787,144.2225,142.415,17939500,144.2478,141.912,142.74,49198,2021-10-20 04:00:00
788,142.192,142.7805,14849920,142.8495,141.637,142.095,45001,2021-10-21 04:00:00
789,140.351,138.625,30182640,141.5585,137.1705,138.718,92307,2021-10-22 04:00:00
790,138.8105,138.773,21081700,139.2058,136.7485,138.4974,57364,2021-10-25 04:00:00
791,140.606,139.672,28258740,140.8395,139.0055,139.808,90749,2021-10-26 04:00:00
792,139.9025,146.4275,51850920,149.118,139.9025,145.9333,154594,2021-10-27 04:00:00
