PEP,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
675,144.8774,144.23,5652038,145.74,143.85,144.5102,76474,2021-05-12 04:00:00
676,144.24,146.37,4849478,147.12,143.58,146.1175,74309,2021-05-13 04:00:00
677,147.2,146.59,4224694,147.9,146.415,146.8442,60024,2021-05-14 04:00:00
678,147,146.17,3747348,147.4,145.71,146.3828,54684,2021-05-17 04:00:00
679,146.64,145.51,4527258,146.95,145.32,145.8475,55969,2021-05-18 04:00:00
680,144.64,145.43,4432736,145.63,144.08,145.04,66722,2021-05-19 04:00:00
681,145.25,147.23,3964589,147.7299,145.11,147.0461,54059,2021-05-20 04:00:00
682,147.8734,147.1,5141240,148.31,146.52,147.1496,56819,2021-05-21 04:00:00
683,147.64,147.85,3627758,148.35,147.01,147.8679,47236,2021-05-24 04:00:00
684,147.85,148.3,4649319,148.37,147.01,147.8629,59583,2021-05-25 04:00:00
685,147.91,148.3,4462626,148.67,147.68,148.1502,57052,2021-05-26 04:00:00
686,148.56,146.51,9203638,148.77,146.44,147.0826,66545,2021-05-27 04:00:00
687,147.41,147.94,4913671,148.5,147.235,148.0587,55249,2021-05-28 04:00:00
688,148.78,147.63,5530380,148.85,147.09,147.6724,65272,2021-06-01 04:00:00
689,148.2,148.22,4546892,148.53,147.23,148.0982,57948,2021-06-02 04:00:00
690,146.71,147.67,4651603,147.76,146.16,147.2507,59459,2021-06-03 04:00:00
691,148,147.84,4427418,148.59,147.47,147.9976,56460,2021-06-04 04:00:00
692,147.76,147.75,4724137,148.2499,146.71,147.4172,47466,2021-06-07 04:00:00
693,147.7,146.37,5997199,147.87,145.915,146.4638,60619,2021-06-08 04:00:00
694,147.25,146.1,3961976,147.59,146.02,146.5883,48044,2021-06-09 04:00:00
695,146.31,147.6,4698243,148.015,146.13,147.5271,48817,2021-06-10 04:00:00
696,148.05,147.69,4364644,148.12,146.79,147.5563,41382,2021-06-11 04:00:00
697,147.47,148.57,3831939,148.63,146.79,147.9364,41637,2021-06-14 04:00:00
698,148.9,148.58,4237333,149.17,148.075,148.633,49245,2021-06-15 04:00:00
