WBEV,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
63,5.3278,5.25,9513,5.5399,5.05,5.2186,113,2022-02-11 05:00:00
64,5.02,4.8968,32315,5.1,4.85,4.9406,349,2022-02-14 05:00:00
65,4.85,4.7,24230,4.94,4.38,4.7181,340,2022-02-15 05:00:00
66,4.5001,4.72,6504,4.78,4.5001,4.7052,91,2022-02-16 05:00:00
67,4.72,4.1,27555,4.73,4.1,4.3664,309,2022-02-17 05:00:00
68,4.31,3.78,11746,4.33,3.78,4.046,152,2022-02-18 05:00:00
69,3.9,3.55,16863,3.9,3.55,3.622,252,2022-02-22 05:00:00
70,3.65,3.65,5796,3.65,3.58,3.6183,69,2022-02-23 05:00:00
71,3.52,3.75,54039,3.75,3.344,3.6297,349,2022-02-24 05:00:00
72,3.75,3.85,12789,4.26,3.72,3.9564,156,2022-02-25 05:00:00
73,3.9999,4.14,26537,4.19,3.88,4.0281,233,2022-02-28 05:00:00
74,4.14,4.02,8964,4.21,4.02,4.1179,142,2022-03-01 05:00:00
75,4.045,4.13,9583,4.2499,4.02,4.1688,116,2022-03-02 05:00:00
76,4.13,3.89,8766,4.16,3.89,4.0744,104,2022-03-03 05:00:00
77,4.25,4.55,38266,4.67,3.95,4.1543,267,2022-03-04 05:00:00
78,5,4.12,29745,5,3.9501,4.3046,291,2022-03-07 05:00:00
79,4.1,4.06,13030,4.4479,4.0201,4.1368,198,2022-03-08 05:00:00
80,4.44,4.1,11724,4.91,4.1,4.5036,137,2022-03-09 05:00:00
81,4.01,3.6,37867,4.2,3.51,3.8251,238,2022-03-10 05:00:00
82,3.7001,4.08,196575,4.4046,3.6,4.0096,696,2022-03-11 05:00:00
83,4.1361,3.47,13826,4.231,3.41,3.7455,151,2022-03-14 04:00:00
84,3.41,3.22,28808,3.46,3.05,3.2962,202,2022-03-15 04:00:00
85,3.28,2.98,32008,3.28,2.98,3.0737,185,2022-03-16 04:00:00
86,3.07,3.53,36218,3.6942,3.07,3.4214,262,2022-03-17 04:00:00
87,3.55,4,103336,4.24,3.36,3.8351,509,2022-03-18 04:00:00
88,3.98,3.83,12488,4.02,3.75,3.9366,167,2022-03-21 04:00:00
89,3.9,3.69,19181,4.22,3.69,3.9102,180,2022-03-22 04:00:00
90,4.1,3.34,12102,4.1,3.34,3.7859,138,2022-03-23 04:00:00
91,4,3.5,34135,4,3.38,3.6043,329,2022-03-24 04:00:00
92,3.5,3.43,20159,3.5602,3.35,3.4809,152,2022-03-25 04:00:00
93,3.58,3.465,5247,3.58,3.37,3.4808,90,2022-03-28 04:00:00
94,3.97,3.56,21094,3.97,3.44,3.7178,244,2022-03-29 04:00:00
95,3.52,3.23,44035,3.7,3.125,3.3495,260,2022-03-30 04:00:00
96,3.17,3.17,25754,3.34,3.04,3.1728,384,2022-03-31 04:00:00
97,3.04,3.15,3116,3.24,3.04,3.1897,120,2022-04-01 04:00:00
98,3.14,3.25,5262,3.3022,3.0809,3.1971,83,2022-04-04 04:00:00
99,3.06,3.09,27647,3.26,3,3.128,221,2022-04-05 04:00:00
100,3.15,3.05,5546,3.15,3.03,3.0787,77,2022-04-06 04:00:00
101,3.5,3.125,9580,3.5,3.03,3.1534,93,2022-04-07 04:00:00
102,3.25,3.24,18409,3.25,3.13,3.2065,130,2022-04-08 04:00:00
103,3.26,3.09,10835,3.26,3.09,3.1987,122,2022-04-11 04:00:00
104,3.155,3.25,15158,3.25,3.155,3.2476,50,2022-04-12 04:00:00
105,3.23,3.25,9571,3.25,3.11,3.2149,86,2022-04-13 04:00:00
106,3.25,3.13,63153,3.25,2.8286,3.0097,333,2022-04-14 04:00:00
107,3.13,3.12,7713,3.1301,2.9602,3.0426,69,2022-04-18 04:00:00
108,3.1,3.04,9819,3.1,3.01,3.0459,109,2022-04-19 04:00:00
109,3.78,5.02,884165,5.03,3.4,4.3427,4310,2022-04-20 04:00:00
110,4.56,4.69,1830916,6.55,3.78,5.4251,9262,2022-04-21 04:00:00
111,5.02,4.14,75340,5.02,4,4.3224,810,2022-04-22 04:00:00
112,4.5,3.83,68414,4.87,3.67,4.0919,694,2022-04-25 04:00:00
113,3.77,2.97,109544,3.83,2.9,3.2304,654,2022-04-26 04:00:00
114,2.95,2.7099,59582,3.06,2.6852,2.8705,369,2022-04-27 04:00:00
115,2.65,2.71,70413,2.87,2.5765,2.7449,339,2022-04-28 04:00:00
116,2.71,2.94,68288,3.08,2.66,2.9424,282,2022-04-29 04:00:00
117,2.92,2.8801,55827,3.06,2.6201,2.7294,321,2022-05-02 04:00:00
118,2.81,2.86,13276,2.9711,2.66,2.8187,131,2022-05-03 04:00:00
119,2.85,2.8,12526,3.04,2.69,2.7778,96,2022-05-04 04:00:00
120,2.74,2.98,33489,3.04,2.71,2.9081,191,2022-05-05 04:00:00
121,2.91,2.8,8916,2.91,2.7,2.775,88,2022-05-06 04:00:00
122,2.68,2.6,18671,2.69,2.53,2.626,259,2022-05-09 04:00:00
123,2.52,2.54,11046,2.7215,2.52,2.5951,90,2022-05-10 04:00:00
124,2.64,2.66,9017,2.79,2.6,2.6875,81,2022-05-11 04:00:00
125,2.61,2.45,16441,2.65,2.45,2.5294,189,2022-05-12 04:00:00
126,2.685,2.6,37724,2.8,2.24,2.4119,267,2022-05-13 04:00:00
127,2.59,2.53,15250,2.67,2.4865,2.5787,119,2022-05-16 04:00:00
128,2.48,2.61,19198,2.73,2.46,2.5827,183,2022-05-17 04:00:00
129,2.65,2.58,90436,2.69,2.4,2.5321,1020,2022-05-18 04:00:00
130,2.45,2.44,62094,2.53,2.4,2.4491,480,2022-05-19 04:00:00
131,2.45,2.4,35795,2.5,2.25,2.392,538,2022-05-20 04:00:00
132,2.36,2.17,33262,2.36,2.01,2.169,470,2022-05-23 04:00:00
133,2.05,1.92,39236,2.235,1.9001,2.0374,271,2022-05-24 04:00:00
134,1.91,1.89,39214,1.94,1.69,1.8618,449,2022-05-25 04:00:00
135,1.85,1.85,22097,1.9499,1.82,1.8589,170,2022-05-26 04:00:00
136,1.8,1.95,47633,2,1.78,1.847,187,2022-05-27 04:00:00
137,1.89,2.15,48219,2.2,1.89,2.0946,232,2022-05-31 04:00:00
138,2.5,2.52,52931,2.52,2.25,2.4154,271,2022-06-01 04:00:00
139,2.48,2.5,30543,2.66,2.3,2.5108,242,2022-06-02 04:00:00
140,2.46,2.13,25476,2.48,2.13,2.298,349,2022-06-03 04:00:00
141,2.49,2.35,16763,2.49,2.2452,2.3421,206,2022-06-06 04:00:00
142,2.1517,2.19,19709,2.2437,2.09,2.186,237,2022-06-07 04:00:00
143,2.01,2.18,32577,2.19,1.885,2.0002,302,2022-06-08 04:00:00
144,2.11,2.21,13832,2.21,2.05,2.1196,273,2022-06-09 04:00:00
145,1.82,2.03,16146,2.1038,1.82,2.0199,271,2022-06-10 04:00:00
146,1.95,2.03,25603,2.12,1.8747,1.9667,381,2022-06-13 04:00:00
147,2.04,1.87,21109,2.05,1.86,1.9237,435,2022-06-14 04:00:00
148,1.9,1.92,27501,2,1.87,1.9435,313,2022-06-15 04:00:00
149,1.75,1.5,43681,1.99,1.5,1.719,405,2022-06-16 04:00:00
150,1.78,1.64,52543,1.78,1.485,1.5778,295,2022-06-17 04:00:00
151,1.75,1.65,17990,1.8,1.65,1.706,137,2022-06-21 04:00:00
152,1.52,1.67,34641,1.72,1.52,1.6726,120,2022-06-22 04:00:00
153,1.724,1.67,21183,1.79,1.67,1.7113,211,2022-06-23 04:00:00
154,1.67,1.52,22143,1.78,1.52,1.6484,241,2022-06-24 04:00:00
155,1.52,1.67,52119,1.68,1.5,1.5859,206,2022-06-27 04:00:00
156,1.595,1.63,7100,1.65,1.5624,1.6102,114,2022-06-28 04:00:00
157,1.59,1.5,5094,1.59,1.44,1.4929,108,2022-06-29 04:00:00
158,1.5,1.55,7359,1.56,1.5,1.515,63,2022-06-30 04:00:00
159,1.54,1.48,11758,1.54,1.39,1.437,120,2022-07-01 04:00:00
160,1.44,1.49,6567,1.53,1.36,1.4663,133,2022-07-05 04:00:00
161,1.43,1.44,7194,1.47,1.37,1.4141,109,2022-07-06 04:00:00
162,1.37,1.41,10889,1.47,1.36,1.4316,128,2022-07-07 04:00:00
163,1.36,1.37,3867,1.39,1.36,1.3747,74,2022-07-08 04:00:00
164,1.36,1.26,14693,1.415,1.26,1.3357,127,2022-07-11 04:00:00
165,1.43,1.45,8629,1.49,1.2816,1.4276,95,2022-07-12 04:00:00
166,1.26,1.48,8569,1.48,1.26,1.446,66,2022-07-13 04:00:00
167,1.32,1.37,4341,1.49,1.32,1.3907,68,2022-07-14 04:00:00
168,1.27,1.36,1860,1.4194,1.27,1.3355,45,2022-07-15 04:00:00
169,1.35,1.3,20013,1.41,1.25,1.3378,154,2022-07-18 04:00:00
170,1.3,1.35,2418,1.35,1.3,1.3199,66,2022-07-19 04:00:00
171,1.3,1.45,24880,1.5299,1.3,1.4554,142,2022-07-20 04:00:00
172,1.62,1.36,5927,1.62,1.36,1.45,49,2022-07-21 04:00:00
173,1.38,1.32,5954,1.48,1.32,1.4019,64,2022-07-22 04:00:00
174,1.62,1.3958,9486,1.62,1.3,1.3432,76,2022-07-25 04:00:00
175,1.4127,1.37,4371,1.4156,1.35,1.3792,73,2022-07-26 04:00:00
176,1.31,1.32,6321,1.385,1.31,1.3381,89,2022-07-27 04:00:00
177,1.3,1.35,5398,1.3559,1.3,1.348,77,2022-07-28 04:00:00
178,1.35,1.2903,17136,1.3524,1.26,1.3228,160,2022-07-29 04:00:00
179,1.3001,1.285,9375,1.35,1.26,1.2984,68,2022-08-01 04:00:00
180,1.27,1.26,13167,1.29,1.25,1.2688,96,2022-08-02 04:00:00
181,1.25,2.16,3140066,2.6,1.25,2.0099,10479,2022-08-03 04:00:00
182,1.67,1.94,470815,2.15,1.4,1.6741,1933,2022-08-04 04:00:00
183,1.95,1.66,58394,1.95,1.61,1.7949,442,2022-08-05 04:00:00
184,1.88,1.635,12656,1.88,1.63,1.6409,87,2022-08-08 04:00:00
185,1.54,1.6,39673,1.66,1.53,1.5863,125,2022-08-09 04:00:00
