BTCUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
358,21367.13,21561.86,22171.5814321473,21818.32,21307.32,21612.4661,727957,2022-08-25
359,21561.49,20240.68,54211.5988911759,21878.05,20097.5,21104.509,982670,2022-08-26
360,20241.9,20036.69,26784.979102376,20389.14,19773,20094.5327,716936,2022-08-27
361,20035.27,19554.03,22189.900010854,20169,19513.74,19917.3297,601597,2022-08-28
362,19539.8,20286.14,40910.230240397,20427.19,19539.7,19999.9516,927061,2022-08-29
363,20290.6,19813.17,55793.2216614176,20589,19540.14,20068.8123,1153956,2022-08-30
364,19814.2,20048.26,45240.0251937716,20495,19799.97,20200.0503,1081215,2022-08-31
365,20049.4,20133.65,32625.5016855204,20212,19560,19933.1535,696204,2022-09-01
366,20132.67,19953.74,29820.2858624253,20444,19755,20111.3669,642804,2022-09-02
367,19953.4,19835.46,12594.7872031053,20063.72915111,19646.41290961,19831.3887,444025,2022-09-03
368,19833.58,20004.73,14021.3456575162,20039,19588.27,19818.403,440918,2022-09-04
369,20003.85,19794.58,18599.6090411375,20060,19633.11,19795.9191,481455,2022-09-05
370,19794.59,18794,53925.9764043494,20183,18663.25,19478.2965,849723,2022-09-06
371,18794,19293.52,35700.9557866107,19466.09,18527,18920.1137,732654,2022-09-07
372,19286,19321.08,31333.2999802388,19460.7,19014.43,19231.4317,643583,2022-09-08
373,19322.56,21365.82,58180.4874229315,21616.21,19294.49,20807.0237,902520,2022-09-09
374,21366.61,21651.52,25351.0992533881,21815.15,21121.6,21433.9147,564723,2022-09-10
375,21656.03,21831.72,18578.6217203655,21865.66,21356.37,21617.1121,460269,2022-09-11
376,21829.33,22402.71,40483.6197550749,22490.05,21553,22145.3945,729544,2022-09-12
377,22405.74,20174.78,62560.7244348154,22800,19855,21395.1346,887884,2022-09-13
378,20168.55,20227.73,37559.9519895178,20545,19619.5,20178.0114,625292,2022-09-14
379,20227.71,19703.67,28481.940052092,20336.42,19500,19961.4773,599837,2022-09-15
380,19703.65,19801.04,35474.0463034117,19894,19305,19664.7413,639142,2022-09-16
381,19800.26,20113.37,27113.7358823233,20212,19748.89,19973.3315,462778,2022-09-17
382,20114.1,19417.64,21326.4525502076,20125,19335.57,19719.3589,515176,2022-09-18
