MNST,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
625,43.78,43.44,4551354,44.2459,43.4,43.7958,26853,2021-03-02 05:00:00
626,43.425,42.3,4186134,43.665,42.245,42.7341,23783,2021-03-03 05:00:00
627,42.36,42.34,4667082,43.285,42.03,42.5406,29748,2021-03-04 05:00:00
628,42.64,43.21,6816980,43.395,41.48,42.8956,26911,2021-03-05 05:00:00
629,43.1,42.57,4603838,43.355,42.51,42.82,25097,2021-03-08 05:00:00
630,43.355,44.22,4986104,44.555,42.98,44.2323,26589,2021-03-09 05:00:00
631,44.4,44.7,4209024,45.05,44.3475,44.7591,22167,2021-03-10 05:00:00
632,44.53,44.675,3186902,45.035,44.395,44.7165,18931,2021-03-11 05:00:00
633,44.235,44.47,5040498,44.6,43.83,44.3624,22624,2021-03-12 05:00:00
634,44.465,44.655,3074696,44.695,43.95,44.4147,18868,2021-03-15 04:00:00
635,45.025,44.695,4415612,45.3,44.62,44.8382,19553,2021-03-16 04:00:00
636,44.316,44.3,3589706,44.625,43.645,44.1535,23335,2021-03-17 04:00:00
637,44.09,43.96,5317226,44.115,43.17,43.7381,28363,2021-03-18 04:00:00
638,43.885,43.96,6279032,44.31,43.675,44.0229,25874,2021-03-19 04:00:00
639,43.9,44.525,5004654,45.1,43.79,44.5401,22865,2021-03-22 04:00:00
640,44.945,44.81,4076922,45.425,44.485,44.8486,27336,2021-03-23 04:00:00
641,44.77,44.36,3741238,44.77,43.925,44.3471,20885,2021-03-24 04:00:00
642,44.48,44.395,2656252,44.655,43.655,44.1848,18308,2021-03-25 04:00:00
643,44.175,45.825,4230242,45.92,44.11,45.3244,27527,2021-03-26 04:00:00
644,45.88,45.96,4273794,46.18,45.34,45.8643,25840,2021-03-29 04:00:00
645,45.645,45.345,3444894,45.815,45.07,45.3338,22867,2021-03-30 04:00:00
646,45.54,45.545,4038186,45.8625,45.275,45.6009,22455,2021-03-31 04:00:00
647,45.85,45.68,3622972,46.085,45.545,45.8024,19497,2021-04-01 04:00:00
648,45.765,46.72,4506522,47.065,45.715,46.7135,26138,2021-04-05 04:00:00
649,46.87,46.865,3346660,47.14,46.315,46.8719,19892,2021-04-06 04:00:00
650,46.895,47.115,3219886,47.285,46.71,47.1083,16930,2021-04-07 04:00:00
651,47.395,47.65,3320388,47.915,47.2,47.6447,21524,2021-04-08 04:00:00
652,47.5151,47.645,2752256,47.74,47.415,47.6078,15598,2021-04-09 04:00:00
653,47.555,47.71,2734436,47.865,47.3075,47.6679,16596,2021-04-12 04:00:00
654,47.7,47.945,4279912,48.145,47.7,47.8675,15576,2021-04-13 04:00:00
655,47.915,47.4,3646882,48.01,47.275,47.5522,24293,2021-04-14 04:00:00
656,47.66,47.975,2614902,48.1025,47.5018,47.9403,18137,2021-04-15 04:00:00
657,48.315,49.085,8516632,49.215,48.065,48.8898,33557,2021-04-16 04:00:00
658,49.17,48.93,3462192,49.2425,48.4675,48.886,22782,2021-04-19 04:00:00
659,49.025,48.7,3343506,49.125,48.48,48.7462,21501,2021-04-20 04:00:00
660,49.105,48.995,2665274,49.245,48.655,48.9567,16373,2021-04-21 04:00:00
661,48.905,48.755,2800252,49.04,48.5975,48.7714,19628,2021-04-22 04:00:00
662,48.935,49.34,3053820,49.62,48.795,49.3431,20286,2021-04-23 04:00:00
663,49.14,48.57,3654790,49.2561,48.355,48.5946,20009,2021-04-26 04:00:00
664,48.655,48.51,2127208,48.655,48.25,48.4676,13225,2021-04-27 04:00:00
665,48.585,48.235,2098850,48.65,48.035,48.2802,15917,2021-04-28 04:00:00
666,48.465,48.97,2269284,49.11,48.255,48.864,17302,2021-04-29 04:00:00
667,48.785,48.525,4192516,48.81,48.22,48.5367,19726,2021-04-30 04:00:00
668,48.955,48.805,3842110,49.57,48.695,48.9932,22305,2021-05-03 04:00:00
669,48.625,47.97,4077298,48.735,47.805,48.1051,25671,2021-05-04 04:00:00
670,48,47.225,4010860,48.195,47.065,47.3008,25455,2021-05-05 04:00:00
671,47.445,47.51,4296094,47.6002,47.06,47.367,26646,2021-05-06 04:00:00
672,44.5,45.625,12023972,45.84,44.175,45.234,66833,2021-05-07 04:00:00
673,45.57,45.8,6512160,46.41,45.35,45.8968,38782,2021-05-10 04:00:00
674,44.95,45.77,4059654,46.1175,44.95,45.7575,30759,2021-05-11 04:00:00
675,45.515,44.895,4526776,45.63,44.8,45.0289,29677,2021-05-12 04:00:00
676,45.115,44.735,4646466,45.32,44.64,44.8599,25654,2021-05-13 04:00:00
677,44.9,46.07,4459826,46.295,44.805,45.9893,28058,2021-05-14 04:00:00
678,45.525,45.675,2920028,45.8475,45.29,45.6143,20943,2021-05-17 04:00:00
679,45.81,45.405,3107698,45.82,45.265,45.4954,24073,2021-05-18 04:00:00
680,45.17,45.365,3543608,45.4,44.92,45.1844,26655,2021-05-19 04:00:00
681,45.41,46.25,5164670,46.465,45.36,46.2244,28096,2021-05-20 04:00:00
682,46.44,46.005,3684054,46.535,45.74,46.0373,23529,2021-05-21 04:00:00
683,46.305,46.615,4327996,46.885,46.16,46.6762,28351,2021-05-24 04:00:00
684,46.86,46.515,4221544,47.115,46.26,46.503,29391,2021-05-25 04:00:00
685,46.755,46.705,2906688,46.96,46.575,46.7218,18831,2021-05-26 04:00:00
686,46.97,46.655,4489930,47.095,46.56,46.7624,21377,2021-05-27 04:00:00
687,46.765,47.135,2767524,47.35,46.7,47.1296,21359,2021-05-28 04:00:00
688,47.195,46.795,5645582,47.415,46.655,46.8622,26030,2021-06-01 04:00:00
689,47.14,47.415,4828448,47.91,46.93,47.4332,31480,2021-06-02 04:00:00
690,47.045,47.525,3981156,47.6025,46.88,47.3987,23086,2021-06-03 04:00:00
691,47.75,47.685,2685788,47.94,47.465,47.6921,19976,2021-06-04 04:00:00
692,47.69,47.15,3396560,47.695,46.8525,47.109,23576,2021-06-07 04:00:00
693,47.225,47.08,2913034,47.32,46.6325,46.9823,22132,2021-06-08 04:00:00
694,47.11,46.62,2522834,47.25,46.54,46.7175,18328,2021-06-09 04:00:00
695,46.2475,46.885,3455192,47.07,46.2475,46.9029,21852,2021-06-10 04:00:00
696,46.99,46.75,2156696,47,46.52,46.7154,13946,2021-06-11 04:00:00
697,46.56,46.7,3009540,46.835,46.5,46.6647,18704,2021-06-14 04:00:00
698,46.905,46.095,3614242,46.905,46.025,46.2361,22155,2021-06-15 04:00:00
699,45.5268,45.76,6313304,46.36,45.5268,45.929,32706,2021-06-16 04:00:00
700,45.76,46.285,3163906,46.42,45.67,46.2117,23129,2021-06-17 04:00:00
701,46.135,45.88,6802554,46.47,45.82,46.0606,29593,2021-06-18 04:00:00
702,46.08,46.02,3066996,46.275,45.605,45.9224,20932,2021-06-21 04:00:00
703,46.045,45.89,3198046,46.14,45.605,45.8978,23049,2021-06-22 04:00:00
704,45.91,45.155,3717294,45.965,45.145,45.3322,25508,2021-06-23 04:00:00
705,45.275,45.07,5210934,45.345,44.91,45.0921,30317,2021-06-24 04:00:00
706,45.2,46.06,8855018,47.645,44.625,45.7666,36388,2021-06-25 04:00:00
707,46.04,45.73,3954862,46.4417,45.51,45.7557,25589,2021-06-28 04:00:00
708,45.77,45.78,2837164,45.8825,45.43,45.7004,25510,2021-06-29 04:00:00
709,45.8,45.675,3972198,45.95,45.535,45.6571,20837,2021-06-30 04:00:00
710,45.63,45.575,3406358,45.835,45.48,45.6185,19988,2021-07-01 04:00:00
711,45.79,45.43,3086652,46.015,45.375,45.5581,20640,2021-07-02 04:00:00
712,45.43,45.305,4578392,45.585,45.155,45.3357,21804,2021-07-06 04:00:00
713,45.445,45.42,2552820,45.475,45.215,45.3709,19796,2021-07-07 04:00:00
714,45,44.92,3447602,45.44,44.775,44.9431,25457,2021-07-08 04:00:00
715,44.775,45.12,2788532,45.27,44.735,45.0941,19179,2021-07-09 04:00:00
716,45.195,45.585,2986188,45.655,45.095,45.511,18860,2021-07-12 04:00:00
717,45.705,46.01,3210646,46.2075,45.635,45.9989,23354,2021-07-13 04:00:00
