FIZZ,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
893,43.22,42.5,126142,43.275,41.73,42.3646,3645,2022-03-23 04:00:00
894,42.74,42.59,103779,43.09,42.02,42.4039,2597,2022-03-24 04:00:00
895,42.52,42.61,109929,43.09,42.24,42.6105,2313,2022-03-25 04:00:00
896,42.53,43.46,93742,43.56,42.53,43.2156,2315,2022-03-28 04:00:00
897,43.49,44.74,147032,44.82,43.49,44.4989,3290,2022-03-29 04:00:00
898,44.53,44.17,104135,44.65,43.945,44.2126,2974,2022-03-30 04:00:00
899,43.96,43.5,131625,44.445,43.335,43.6899,2674,2022-03-31 04:00:00
900,43.52,44.68,180829,44.75,43.38,44.3745,3749,2022-04-01 04:00:00
901,44.97,45.43,131817,45.55,44.16,45.2531,3315,2022-04-04 04:00:00
902,45.39,45.55,133223,45.76,45.106,45.5438,3561,2022-04-05 04:00:00
903,45.23,45.47,193223,45.845,45.09,45.4371,3594,2022-04-06 04:00:00
904,45.5,46.71,227930,47.02,45.37,46.5899,5125,2022-04-07 04:00:00
905,46.83,45.93,242298,47.34,45.835,46.5157,4568,2022-04-08 04:00:00
906,45.54,46.6,147892,46.7,45.48,46.3634,3861,2022-04-11 04:00:00
907,46.96,47.85,218646,48.09,46.78,47.7498,4369,2022-04-12 04:00:00
908,47.86,46.22,223841,47.94,45.49,46.3131,4208,2022-04-13 04:00:00
909,46.48,47.34,186929,47.73,46.31,47.1674,4033,2022-04-14 04:00:00
910,47.64,45.37,140858,47.64,45.28,45.7534,3667,2022-04-18 04:00:00
911,45.16,45.99,99688,46.375,45.15,45.9633,2803,2022-04-19 04:00:00
912,46.38,46.61,91211,46.975,46.24,46.6222,2834,2022-04-20 04:00:00
913,46.47,45.92,126101,47.05,45.83,46.1596,3660,2022-04-21 04:00:00
914,45.92,45.22,96030,46.3616,45.02,45.3042,2649,2022-04-22 04:00:00
915,45.09,46.1,113274,46.1899,44.65,45.6855,3572,2022-04-25 04:00:00
916,45.86,44.49,123576,45.86,44.46,44.8585,3598,2022-04-26 04:00:00
917,44.47,44.33,139132,45.9,44.22,44.8114,4330,2022-04-27 04:00:00
918,44.78,45.45,133343,45.68,44.21,45.1225,2990,2022-04-28 04:00:00
919,45.09,44.08,131330,45.28,43.79,44.2871,3032,2022-04-29 04:00:00
920,44.23,43.84,121546,44.66,42.97,43.7493,3564,2022-05-02 04:00:00
921,43.83,43.51,110714,44.16,42.58,43.3341,3033,2022-05-03 04:00:00
922,43.7,45.11,113543,45.18,43.22,44.5443,2930,2022-05-04 04:00:00
923,44.76,45.59,261551,45.69,44.46,45.196,4810,2022-05-05 04:00:00
924,45.5,45.67,179921,46.34,44.49,45.6467,3592,2022-05-06 04:00:00
925,45.21,45.88,122807,46.29,44.84,45.7535,3345,2022-05-09 04:00:00
926,46.52,46.37,427766,46.9,44.52,46.2028,7325,2022-05-10 04:00:00
927,46.4,46.34,432398,48.71,45.41,47.2025,7882,2022-05-11 04:00:00
928,46,46.64,185002,46.65,44.47,45.8553,4744,2022-05-12 04:00:00
929,46.98,49.63,318969,49.8,46.98,49.2231,5478,2022-05-13 04:00:00
930,49.63,48.28,264494,50.72,47.91,49.259,5322,2022-05-16 04:00:00
931,48.68,49.45,288508,49.72,48,48.9359,4944,2022-05-17 04:00:00
932,48.69,48.48,797069,49.04,47.69,48.4476,9451,2022-05-18 04:00:00
933,47.93,45.12,694912,48.09,45.035,46.204,9173,2022-05-19 04:00:00
934,45.28,45.52,335322,45.86,44.59,45.2496,5835,2022-05-20 04:00:00
935,45.76,46.36,504427,46.4475,44.85,46.1128,7840,2022-05-23 04:00:00
936,45.96,47.37,304338,47.72,45.49,46.8815,6217,2022-05-24 04:00:00
937,47.16,47.57,165129,48.23,46.57,47.4597,5781,2022-05-25 04:00:00
938,48.06,48.96,134470,49.81,46.22,49.0936,4095,2022-05-26 04:00:00
939,49.18,50.94,137675,51.2,49.18,50.6906,3584,2022-05-27 04:00:00
940,50.89,49.63,169175,50.935,49.28,49.8883,4354,2022-05-31 04:00:00
941,49.82,48.6,182923,50.375,48.115,48.5204,4833,2022-06-01 04:00:00
942,48.52,49.29,130185,49.46,48.27,49.1478,3514,2022-06-02 04:00:00
