SUSHIUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
398,1.0872,1.1563,1904110.55648223,1.1731,1.082,1.1267,8351,2022-10-04
399,1.1569,1.2889,3779504.74342989,1.3271,1.1009,1.2182,15759,2022-10-05
400,1.2885,1.328,5025559.8284224,1.359,1.2529,1.3092,18141,2022-10-06
401,1.3265,1.3611,6004634.95998903,1.4306,1.2987,1.358,17708,2022-10-07
402,1.3618,1.3698,1121202.34070709,1.3869,1.3344,1.3588,5435,2022-10-08
403,1.3696,1.3862,971905.540323282,1.3924,1.3219,1.3558,5795,2022-10-09
404,1.3857,1.2607,3087970.19317658,1.3886,1.2377,1.311,9020,2022-10-10
405,1.264,1.2564,2978808.01723287,1.2833,1.2048,1.2415,10346,2022-10-11
406,1.2558,1.1684,1036831.19539316,1.2753,1.1667,1.2197,5328,2022-10-12
407,1.169,1.2571,3158627.07491675,1.2577,1.088,1.1749,12684,2022-10-13
408,1.2571,1.4674,5321485.1156032,1.5834,1.2502,1.3793,19283,2022-10-14
409,1.4675,1.4831,3052603.1898854,1.53,1.398,1.4511,12554,2022-10-15
410,1.4806,1.4612,1686502.60695754,1.5034,1.414,1.4619,8111,2022-10-16
411,1.4611,1.42,2400615.56151631,1.4736,1.3813,1.4227,8714,2022-10-17
412,1.4264,1.4981,2716439.47548837,1.5398,1.39,1.4671,11890,2022-10-18
413,1.4987,1.4896,2648270.8325732,1.5347,1.4589,1.4949,9444,2022-10-19
414,1.4872,1.3665,2459812.84746874,1.4924,1.3623,1.4274,10036,2022-10-20
415,1.3659,1.3481,2102335.71799154,1.3753,1.2755,1.3341,9187,2022-10-21
416,1.35,1.3063,971721.157884181,1.35,1.294,1.3227,4799,2022-10-22
417,1.3069,1.4383,2263506.8097399,1.4456,1.2586,1.3487,9295,2022-10-23
418,1.4394,1.4201,2068737.41276256,1.4643,1.3943,1.4329,8360,2022-10-24
419,1.4196,1.5599,2803843.41000002,1.6634,1.3932,1.5381,12356,2022-10-25
420,1.5627,1.6686,3839541.40192317,1.72,1.5533,1.6419,16153,2022-10-26
421,1.6686,1.6101,3561594.55355042,1.7235,1.5805,1.6571,13011,2022-10-27
422,1.61,1.7073,3435307.51908534,1.7628,1.5915,1.6948,13484,2022-10-28
423,1.7082,1.8431,5390999.4972036,1.8749,1.6464,1.7696,21610,2022-10-29
424,1.8448,1.701,3232577.00418319,1.891,1.65,1.7873,16242,2022-10-30
425,1.7,1.5991,3093521.47061212,1.8091,1.5845,1.6812,16110,2022-10-31
426,1.5985,1.5828,1804521.37837156,1.6612,1.5626,1.6102,9314,2022-11-01
427,1.5865,1.6227,4883897.9266261,1.7,1.5,1.5904,17243,2022-11-02
428,1.6197,1.7424,4877918.09724359,1.8226,1.6074,1.7267,17380,2022-11-03
429,1.7425,1.9798,5781998.1520394,2.0833,1.6965,1.8938,24183,2022-11-04
430,1.9838,1.8225,3080094.23848166,2.0162,1.7787,1.9219,16220,2022-11-05
431,1.8183,1.7184,2362052.10735435,1.893,1.7116,1.8,12729,2022-11-06
432,1.7158,1.732,5855454.44317938,1.9612,1.6672,1.7761,24797,2022-11-07
433,1.7279,1.3926,11905606.0816446,1.8618,1.1342,1.5338,51952,2022-11-08
434,1.3914,1.0171,7889903.72573545,1.4176,0.9919,1.1786,41540,2022-11-09
435,1.0197,1.2366,7216854.96430964,1.3023,1,1.1644,29470,2022-11-10
436,1.2364,1.2516,5117318.05022179,1.3526,1.1431,1.2385,20140,2022-11-11
437,1.2529,1.171,2023567.73608618,1.257,1.1,1.1698,7808,2022-11-12
438,1.1704,1.2444,3420943.22908811,1.2873,1.1518,1.2372,14705,2022-11-13
439,1.2424,1.27,3194453.53213447,1.3297,1.1363,1.237,14390,2022-11-14
440,1.2698,1.3101,2505501.90331258,1.3806,1.2359,1.3114,9279,2022-11-15
441,1.309,1.2962,1396898.10545915,1.3732,1.2559,1.3047,6559,2022-11-16
442,1.2984,1.2283,1156380.66841188,1.3271,1.2233,1.2698,5937,2022-11-17
443,1.227,1.2137,841765.799285198,1.2604,1.1906,1.2198,4250,2022-11-18
444,1.2143,1.2204,833366.772090918,1.2303,1.16,1.1965,4302,2022-11-19
445,1.2204,1.1704,1482693.46244878,1.25,1.1377,1.1951,6173,2022-11-20
446,1.1685,1.1168,2804038.65392719,1.23,1.0772,1.1395,10126,2022-11-21
447,1.1172,1.1749,1227366.29729503,1.1863,1.0777,1.1356,7262,2022-11-22
448,1.1751,1.2087,1258435.52876149,1.2243,1.16,1.196,6615,2022-11-23
449,1.2076,1.168,709858.84080014,1.2306,1.1559,1.1954,3377,2022-11-24
450,1.1673,1.1718,618449.857653759,1.1875,1.1413,1.1623,3008,2022-11-25
451,1.1726,1.1906,815297.361705668,1.2203,1.1669,1.1882,3668,2022-11-26
452,1.191,1.2673,1926299.9529206,1.32,1.185,1.2685,8824,2022-11-27
453,1.267,1.3348,3364188.47734282,1.3857,1.2085,1.3219,17258,2022-11-28
454,1.3348,1.3862,2368208.52969373,1.4194,1.29,1.3739,11316,2022-11-29
455,1.3871,1.4677,2399325.37515166,1.4862,1.3615,1.424,11059,2022-11-30
456,1.4687,1.3861,1649893.13931775,1.4719,1.3547,1.3914,7692,2022-12-01
457,1.3862,1.3777,1465526.72234559,1.4011,1.3206,1.353,7754,2022-12-02
458,1.3801,1.327,1173052.90646959,1.4332,1.313,1.3652,6180,2022-12-03
459,1.326,1.3501,516885.61010456,1.3581,1.3256,1.3427,2637,2022-12-04
460,1.3506,1.3797,1197587.77171338,1.405,1.3455,1.3799,5694,2022-12-05
461,1.3794,1.264,3046007.20861248,1.4282,1.235,1.3169,14182,2022-12-06
462,1.2638,1.1622,2393340.44680889,1.2808,1.1416,1.2019,9993,2022-12-07
463,1.1624,1.1866,1316021.85092983,1.1983,1.134,1.168,5005,2022-12-08
464,1.1887,1.1845,1264676.00364834,1.2129,1.1466,1.18,4613,2022-12-09
465,1.1847,1.1747,600855.72992682,1.2005,1.165,1.1836,2385,2022-12-10
466,1.1749,1.1427,854388.536218321,1.1903,1.1172,1.1602,3953,2022-12-11
467,1.1414,1.1393,1406071.01478733,1.1464,1.092,1.12,5988,2022-12-12
468,1.1403,1.1617,2731656.8287405,1.17,1.0962,1.1495,8483,2022-12-13
469,1.1616,1.1194,3782677.84390839,1.1708,1.1124,1.143,14871,2022-12-14
470,1.1186,1.1284,3505944.12986302,1.1327,1.0945,1.1142,13927,2022-12-15
471,1.1281,0.9769,2770329.74899695,1.1362,0.9462,1.0677,11848,2022-12-16
472,0.9763,1.0202,1266558.2069431,1.0253,0.9536,0.9933,5621,2022-12-17
473,1.0205,1.0038,586732.20337603,1.0234,0.9993,1.0097,2888,2022-12-18
474,1.0047,0.9237,2030964.32421816,1.0185,0.9001,0.9601,7630,2022-12-19
475,0.9236,0.9619,1215670.32438808,0.99,0.9177,0.9642,4669,2022-12-20
476,0.962,0.9338,918299.016775935,0.96474,0.9236,0.9483,3696,2022-12-21
477,0.9336,0.9497,1235347.6564514,0.95077,0.905,0.9288,4449,2022-12-22
478,0.9497,0.9381,928178.085862318,0.96042,0.9325,0.9451,3657,2022-12-23
479,0.9382,0.9412,374958.0965368,0.9498,0.9354,0.9416,1647,2022-12-24
480,0.9403,0.9345,689530.93166584,0.94783,0.9103,0.9287,2891,2022-12-25
481,0.9343,0.98697,1279024.11668363,0.98788,0.9293,0.9611,4148,2022-12-26
