AAPL,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
641,122.82,120.09,88525685,122.9,120.065,121.2133,653239,2021-03-24 04:00:00
642,119.54,120.59,98809281,121.66,119,120.244,807588,2021-03-25 04:00:00
643,120.35,121.21,94071234,121.48,118.92,120.2314,716066,2021-03-26 04:00:00
644,121.65,121.39,80819203,122.58,120.7299,121.4709,584885,2021-03-29 04:00:00
645,120.11,119.9,84507919,120.4031,118.86,119.7036,667918,2021-03-30 04:00:00
646,121.65,122.15,118323826,123.52,121.15,122.6039,740850,2021-03-31 04:00:00
647,123.66,123,75089134,124.18,122.49,123.1513,526273,2021-04-01 04:00:00
648,123.87,125.9,88251175,126.1601,123.07,125.3311,642630,2021-04-05 04:00:00
649,126.5,126.21,80171253,127.13,125.65,126.364,564312,2021-04-06 04:00:00
650,125.83,127.9,83256716,127.92,125.14,127.1011,555603,2021-04-07 04:00:00
651,128.95,130.36,88844591,130.39,128.52,129.7402,639632,2021-04-08 04:00:00
652,129.8,132.995,106615653,133.04,129.47,131.6977,701349,2021-04-09 04:00:00
653,132.52,131.24,91388983,132.85,130.63,131.5117,612036,2021-04-12 04:00:00
654,132.44,134.43,90761995,134.66,131.93,133.732,640753,2021-04-13 04:00:00
655,134.94,132.03,86222782,135,131.655,133.0216,668827,2021-04-14 04:00:00
656,133.82,134.5,89347102,135,133.64,134.3964,608980,2021-04-15 04:00:00
657,134.3,134.16,84360386,134.67,133.28,134.0367,541233,2021-04-16 04:00:00
658,133.51,134.84,94264215,135.47,133.34,134.5998,625255,2021-04-19 04:00:00
659,135.02,133.11,94812249,135.53,131.81,133.4438,744673,2021-04-20 04:00:00
660,132.36,133.5,68826135,133.75,131.3001,132.8647,508230,2021-04-21 04:00:00
661,133.04,131.94,84566456,134.15,131.41,132.7723,615670,2021-04-22 04:00:00
662,132.16,134.32,78666779,135.12,132.16,134.1622,519533,2021-04-23 04:00:00
663,134.83,134.72,66888509,135.06,133.56,134.5418,484069,2021-04-26 04:00:00
664,135.01,134.39,66015804,135.41,134.11,134.5907,480003,2021-04-27 04:00:00
665,134.31,133.58,107746597,135.02,133.08,134.6526,783355,2021-04-28 04:00:00
666,136.47,133.48,151100953,137.07,132.45,134.1771,1059387,2021-04-29 04:00:00
667,131.78,131.46,109425466,133.56,131.065,132.194,701292,2021-04-30 04:00:00
668,132.04,132.54,75135100,134.07,131.83,132.8122,580631,2021-05-03 04:00:00
669,131.19,127.85,137544918,131.4899,126.7,127.9654,1182700,2021-05-04 04:00:00
670,129.2,128.1,84000900,130.45,127.97,129.2267,659279,2021-05-05 04:00:00
671,127.89,129.74,78064334,129.75,127.13,128.6316,607088,2021-05-06 04:00:00
672,130.85,130.21,77691273,131.2582,129.475,130.4433,545296,2021-05-07 04:00:00
673,129.41,126.85,88071229,129.54,126.81,127.8422,680681,2021-05-10 04:00:00
674,123.5,125.91,126142826,126.27,122.77,124.7406,922237,2021-05-11 04:00:00
675,123.4,122.77,112172282,124.64,122.25,123.0599,876763,2021-05-12 04:00:00
676,124.58,124.97,105850339,126.15,124.26,125.1884,788603,2021-05-13 04:00:00
677,126.25,127.45,81872951,127.89,125.85,126.9616,535527,2021-05-14 04:00:00
678,126.82,126.27,74216624,126.93,125.17,125.9467,502288,2021-05-17 04:00:00
679,126.56,124.85,63342929,126.99,124.78,125.9763,493538,2021-05-18 04:00:00
680,123.16,124.69,92593489,124.915,122.86,124.0238,674397,2021-05-19 04:00:00
681,125.23,127.31,76852123,127.72,125.1,126.8581,494796,2021-05-20 04:00:00
682,127.82,125.43,79295436,128,125.21,126.1486,527860,2021-05-21 04:00:00
683,126.01,127.1,63067944,127.94,125.94,127.2698,442120,2021-05-24 04:00:00
684,127.82,126.9,72009482,128.32,126.32,127.0739,462909,2021-05-25 04:00:00
685,126.955,126.85,56443920,127.39,126.42,126.8655,415320,2021-05-26 04:00:00
686,126.44,125.28,94625601,127.64,125.08,126.1253,545582,2021-05-27 04:00:00
687,125.57,124.61,71238509,125.8,124.55,125.0642,527853,2021-05-28 04:00:00
688,125.08,124.28,65562118,125.35,123.94,124.5894,501106,2021-06-01 04:00:00
689,124.28,125.06,58674262,125.24,124.05,124.769,461408,2021-06-02 04:00:00
690,124.68,123.54,75699170,124.85,123.13,123.7708,562249,2021-06-03 04:00:00
691,124.07,125.89,75169343,126.16,123.85,125.368,467760,2021-06-04 04:00:00
692,126.17,125.9,71057550,126.32,124.8321,125.3691,504254,2021-06-07 04:00:00
693,126.6,126.74,74403774,128.46,126.2101,127.0742,532078,2021-06-08 04:00:00
694,127.21,127.13,56695219,127.75,126.52,127.0733,382625,2021-06-09 04:00:00
695,127.02,126.11,71186421,128.19,125.94,126.6607,498371,2021-06-10 04:00:00
696,126.53,127.35,53522373,127.44,126.1,127.0246,354080,2021-06-11 04:00:00
