NVDA,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
431,88.2525,90.2625,103876500,90.93,87.1325,89.8511,300892,2020-05-22 04:00:00
432,91.5675,87.1775,77077904,91.8175,86.72,88.546,241417,2020-05-26 04:00:00
433,86.25,85.2525,117589224,86.3275,79.9675,83.2087,371141,2020-05-27 04:00:00
434,84.1225,84.87,73612816,87.605,83.7925,86.2837,205734,2020-05-28 04:00:00
435,85.545,88.755,74591976,88.755,84.85,86.8081,187898,2020-05-29 04:00:00
436,88.3325,88.0625,39051100,88.4075,86.895,87.7467,128505,2020-06-01 04:00:00
437,87.9625,88.2525,39132056,88.3725,86.58,87.5055,128872,2020-06-02 04:00:00
438,88.2225,87.695,35943888,88.6625,87,87.7044,125197,2020-06-03 04:00:00
439,87.28,87.665,42427840,89.4325,86.775,88.0033,129274,2020-06-04 04:00:00
440,87.945,89.2,48174604,89.97,87.0798,88.8548,150315,2020-06-05 04:00:00
441,88.7725,88.05,38773564,88.8963,86.8575,87.6298,136408,2020-06-08 04:00:00
442,88,90.46,46848884,91.0975,87.5125,90.0896,159775,2020-06-09 04:00:00
443,91.6775,93.6675,63218148,95,91.535,93.7855,200559,2020-06-10 04:00:00
444,91.5,87.9625,58365024,92.6125,87.86,90.1794,205587,2020-06-11 04:00:00
445,91.625,89.325,57090816,91.8725,87.0335,89.4548,187984,2020-06-12 04:00:00
446,88.1525,91.7375,40000216,91.8225,87.4375,90.3501,132750,2020-06-15 04:00:00
447,92.25,90.685,53571500,92.6675,88.3875,90.4548,181694,2020-06-16 04:00:00
448,91.1375,92.36,40830564,92.99,90.7025,91.9609,123939,2020-06-17 04:00:00
449,92.27,92.18,25440952,92.825,91.145,91.91,81883,2020-06-18 04:00:00
450,92.425,92.6125,52016052,94.45,92.2734,93.221,131391,2020-06-19 04:00:00
451,93,95.2675,39846648,95.3125,92.733,94.4634,119418,2020-06-22 04:00:00
452,95.51,94.5,37510740,96.425,94.075,95.3351,124560,2020-06-23 04:00:00
453,94.7625,92.355,44937088,95.5638,91.4451,93.1608,153893,2020-06-24 04:00:00
454,93.5575,94.9,37607200,95.05,91.8225,93.599,122742,2020-06-25 04:00:00
455,95,91.55,59168576,95,91.25,92.2197,182376,2020-06-26 04:00:00
456,91.6975,92,34224812,92.045,89,90.9805,120571,2020-06-29 04:00:00
457,93.1399,94.9775,36789200,95.2625,92.665,94.5759,121657,2020-06-30 04:00:00
458,95.2075,95.3,32664680,95.7567,94.13,95.1746,110086,2020-07-01 04:00:00
459,96.39,96.1225,36405408,97.375,95.7825,96.5832,109997,2020-07-02 04:00:00
460,97.4175,98.3925,31589372,99.0875,97.125,98.1964,113781,2020-07-06 04:00:00
461,99.4625,98.7175,35768552,100.7,98.5075,99.7078,133284,2020-07-07 04:00:00
462,99.9375,102.16,36448052,102.25,99.655,100.9995,132464,2020-07-08 04:00:00
463,103.8025,105.09,49454720,105.7,102.335,104.1692,181733,2020-07-09 04:00:00
464,105.8875,104.7925,49767476,106.5525,103.7875,105.0333,168505,2020-07-10 04:00:00
465,105.95,100.5225,45707496,107.9225,100.25,104.7188,212170,2020-07-13 04:00:00
466,100.75,103.77,54267420,104.0275,97.855,101.3166,213622,2020-07-14 04:00:00
467,104.1425,102.2725,40398492,104.33,100.5575,102.3332,158922,2020-07-15 04:00:00
468,100.15,101.3475,34496472,102.0675,98.955,100.5707,135573,2020-07-16 04:00:00
469,102.255,102.015,26628464,102.485,100.8775,101.8262,98528,2020-07-17 04:00:00
470,102.7425,105.1075,28485084,105.3125,101.5675,103.8629,111208,2020-07-20 04:00:00
471,105.13,103.285,27766684,105.5993,102.8675,103.8351,116592,2020-07-21 04:00:00
472,103.675,104.3875,36729084,106.025,102.9156,104.5417,122212,2020-07-22 04:00:00
473,104.5,101.2975,41166128,105.47,100.3125,102.7,168387,2020-07-23 04:00:00
474,98.75,101.945,47329200,103.6475,97.77,101.4907,167184,2020-07-24 04:00:00
475,102.3225,104.215,29213020,104.4175,102.1775,103.6182,113233,2020-07-27 04:00:00
476,103.7425,102.155,27163604,103.82,102.0925,102.9203,98070,2020-07-28 04:00:00
477,103.908,104.655,28450768,105.1625,103.47,104.5524,105809,2020-07-29 04:00:00
478,103.75,106.14,30888016,106.2305,102.9525,104.93,128521,2020-07-30 04:00:00
479,105.6325,106.1475,38628600,107.665,104.33,105.5648,146105,2020-07-31 04:00:00
480,107.325,110.1025,41301824,110.9875,107.1525,109.5162,161658,2020-08-03 04:00:00
481,110.5,112.2775,31033560,112.2775,109.06,111.1767,124858,2020-08-04 04:00:00
482,112.44,112.8675,25049972,113.7168,111.6625,112.8374,106191,2020-08-05 04:00:00
483,113.4975,113.355,24431568,113.58,111.7875,112.8606,101819,2020-08-06 04:00:00
484,113.125,111.995,34251596,115.0475,110.375,112.7093,142332,2020-08-07 04:00:00
485,113.3425,111.65,42779592,114.0825,108.565,111.6116,166774,2020-08-10 04:00:00
486,110.7375,108.5,35451052,111.3675,107.9575,109.765,149485,2020-08-11 04:00:00
487,109.9075,114.4025,46494292,114.67,109.5825,112.9743,170506,2020-08-12 04:00:00
488,115.46,114.43,37445956,117.2175,113.5575,115.2892,152576,2020-08-13 04:00:00
489,115.3,115.64,36643616,117.0475,114.405,115.4991,136902,2020-08-14 04:00:00
490,118.5125,123.37,62130092,124.0975,118.1719,122.2789,247055,2020-08-17 04:00:00
491,124.5,122.6075,50335020,124.96,120.8625,122.6664,236050,2020-08-18 04:00:00
492,122.965,121.385,62262232,123.15,120.98,121.7868,283322,2020-08-19 04:00:00
493,119.75,121.41,91338624,123.75,118.7875,121.773,332775,2020-08-20 04:00:00
494,122.0175,126.835,99968552,128.087,121.9516,125.6623,350541,2020-08-21 04:00:00
495,128.8375,127.2025,49056420,129.125,125.075,127.0079,238711,2020-08-24 04:00:00
496,126.3075,127.5,28907680,127.6125,125.7375,126.7935,126162,2020-08-25 04:00:00
497,127.9924,127.73,32124292,128.6849,126.7775,127.6789,156761,2020-08-26 04:00:00
498,127.815,126.2825,31760292,128.5,125.6643,127.1038,163428,2020-08-27 04:00:00
499,126.7491,131.4775,53715852,131.48,126.425,129.9516,215369,2020-08-28 04:00:00
500,131.8279,133.745,50075620,135.75,130.3775,133.3341,222896,2020-08-31 04:00:00
501,134.8,138.21,51247396,139.9375,134.365,137.7684,263262,2020-09-01 04:00:00
502,147.0375,143.465,87401288,147.2675,139,143.3813,410533,2020-09-02 04:00:00
503,138.2864,130.155,94512604,138.845,128.7875,132.6082,556268,2020-09-03 04:00:00
504,127.8375,126.225,146368284,131.75,117.0475,123.6607,679917,2020-09-04 04:00:00
505,117.345,119.13,79572948,125.5,117.0425,121.5987,349241,2020-09-08 04:00:00
506,124,127.15,73619828,128.0925,122.3175,125.8923,314977,2020-09-09 04:00:00
507,129.8925,123.1175,69868444,130.6525,121.67,126.1066,308767,2020-09-10 04:00:00
508,124.855,121.645,63692688,126.525,118.9575,122.4548,261667,2020-09-11 04:00:00
509,130.81,128.7225,120174496,133.15,126.3114,129.6249,457458,2020-09-14 04:00:00
510,132.8,129.91,72755656,132.9875,128.2775,130.0484,294887,2020-09-15 04:00:00
511,129.5725,125.145,55759940,130.9275,125.1375,127.4068,253822,2020-09-16 04:00:00
512,121.3224,124.635,79251176,125.8975,120.3475,123.6745,267177,2020-09-17 04:00:00
513,125.9375,121.8925,69846192,126.325,119.8875,122.4645,266958,2020-09-18 04:00:00
514,119.25,125.1725,72104244,125.225,119.045,122.0178,275248,2020-09-21 04:00:00
515,125.75,126.3775,64645208,126.48,121.5555,124.0888,229295,2020-09-22 04:00:00
516,125.755,121.2375,64701232,127.27,120.7925,124.2535,215515,2020-09-23 04:00:00
517,120.7225,123.48,73060032,125.695,120.14,123.8321,246823,2020-09-24 04:00:00
518,124.475,128.7375,58787768,128.835,122.4575,126.3028,224072,2020-09-25 04:00:00
519,130.4025,130.35,57380912,130.5175,127.5,129.1054,215011,2020-09-28 04:00:00
520,129.375,132.2575,62300496,134.4275,129.3325,132.1716,233567,2020-09-29 04:00:00
521,131.575,135.305,68918412,136.225,131.5025,135.0664,236401,2020-09-30 04:00:00
522,137.58,136.145,52500236,137.6274,134.6075,135.9875,194419,2020-10-01 04:00:00
523,132.25,130.6225,55249588,135.195,130.51,132.6547,246685,2020-10-02 04:00:00
524,132.36,136.425,47981828,136.4425,132.2277,135.316,183516,2020-10-05 04:00:00
525,138.3,137.365,78441984,141.42,136.65,139.3943,315842,2020-10-06 04:00:00
526,139.9975,139.64,41808516,141.1925,138.635,139.7752,169547,2020-10-07 04:00:00
527,140.75,138.3875,37890088,140.845,137.58,138.5025,166640,2020-10-08 04:00:00
528,137.67,137.6275,34689092,138.2425,136.6075,137.2997,170245,2020-10-09 04:00:00
529,139.895,142.26,43474380,143.47,139.125,141.8007,196656,2020-10-12 04:00:00
530,142.965,142.4825,34460312,143.485,140.1863,142.0849,150879,2020-10-13 04:00:00
531,142.905,140.9525,27664712,143.4275,139.6,141.3122,134495,2020-10-14 04:00:00
532,138.1068,139.7,26722512,140.0575,137.6775,139.0773,131593,2020-10-15 04:00:00
533,140.3675,138.115,24263960,141.215,137.925,139.276,119724,2020-10-16 04:00:00
534,139.0288,134.9775,29806856,139.835,134.0675,136.8341,152394,2020-10-19 04:00:00
535,135.835,136.455,22821204,137.9975,135.07,136.5813,114885,2020-10-20 04:00:00
536,136.25,135.2475,21959732,137.915,134.775,136.0077,109560,2020-10-21 04:00:00
