LTCUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
279,64.36,63.77,382714.491316539,65.506,60.13,62.433,69977,2022-06-07
280,63.8,61.34,300366.343002513,64.529,61.07,62.454,60216,2022-06-08
281,61.31,60.17,230417.74301084,62.429,59.18,60.9813,52038,2022-06-09
282,60.19,56.62,414633.136085786,60.47,55.55,57.7722,69900,2022-06-10
283,56.62,52.13,704151.137806273,57.809,51.59,54.3249,88059,2022-06-11
284,52.11,47.88,612273.225489635,52.687,47.28,50.1417,77846,2022-06-12
285,48.02,43.45,1089182.65571462,48.341,40.56,43.6854,113403,2022-06-13
286,43.45,46.1,1034705.89922438,46.535,40.32,44.4498,94673,2022-06-14
287,46.1,50.63,845250.24356059,51.034,41.59,45.1906,94328,2022-06-15
288,50.729,44.74,601303.346019997,51.27,43.97,47.0942,77003,2022-06-16
289,44.72,47.507,598688.300403242,48.38,44.36,46.5581,80552,2022-06-17
290,47.507,47.13,859628.213076588,48.29,41.41,45.0822,86414,2022-06-18
291,47.11,54.25,1451658.6006093,56.37,44.86,50.4649,117468,2022-06-19
292,54.21,52.69,623509.359467838,54.76,51.25,52.6299,80018,2022-06-20
293,52.7,53.46,490359.639560578,55.71,51.82,53.4391,66915,2022-06-21
294,53.53,52.07,423750.782179248,53.53,50.34,51.8671,66730,2022-06-22
295,52.09,55.73,544471.564297203,56.744,51.85,54.7282,76664,2022-06-23
296,55.71,55.775,372172.656804488,57.32,54.246,55.8763,58984,2022-06-24
297,55.785,58.81,346525.88621974,59.75,54.556,57.1483,54749,2022-06-25
298,58.836,56.58,301405.724575849,60.463,56.57,58.7627,46319,2022-06-26
299,56.57,55.86,313182.741328571,58.61,54.79,56.7037,56297,2022-06-27
300,55.84,52.65,341324.436424287,57.11,52.49,54.75,53524,2022-06-28
301,52.65,53.58,345687.283994363,54.4,51.31,52.7231,56774,2022-06-29
302,53.61,53.81,430770.66250638,53.985,50.08,51.6739,68001,2022-06-30
