DOGEUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
229,0.1393,0.1402,243399185.056443,0.14061,0.13292,0.1369,59855,2022-04-18
230,0.1401,0.1426,177847796.726157,0.14465,0.1391,0.1416,41487,2022-04-19
231,0.1426,0.1408,274105200.075699,0.14689,0.1388169,0.1429,64516,2022-04-20
232,0.1407,0.1364,174157053.28601,0.14311,0.13401,0.1395,46255,2022-04-21
233,0.1364,0.1364,105112604.073341,0.13829,0.1346,0.1363,34264,2022-04-22
234,0.13636,0.134,76813154.4179747,0.13681,0.1331,0.1349,28973,2022-04-23
235,0.134,0.1319,107410825.009547,0.13486,0.13098,0.1328,33441,2022-04-24
236,0.13178,0.1581,1686934210.67869,0.1716,0.1225217,0.151,334449,2022-04-25
237,0.1581,0.1376188,1288959556.71616,0.1667,0.135,0.1514,267292,2022-04-26
238,0.1377,0.1401,499090167.688407,0.146,0.13507,0.14,112613,2022-04-27
239,0.14,0.1374,350167301.229508,0.1434203,0.13518,0.1387,77993,2022-04-28
240,0.1375,0.135,482969732.697365,0.145,0.13309,0.1383,106597,2022-04-29
241,0.1349,0.1274,283460146.364657,0.13692,0.124,0.1309,68117,2022-04-30
242,0.1275,0.1326,265671889.460384,0.13654,0.12608,0.1312,60074,2022-05-01
243,0.1327,0.1307,182305670.578571,0.134,0.1275,0.131,47723,2022-05-02
244,0.1307,0.1294,141904503.831549,0.132,0.1263,0.1298,40140,2022-05-03
245,0.1295,0.136,234884168.432431,0.13632,0.1289,0.132,54188,2022-05-04
246,0.1359,0.1282,363395817.496947,0.1379,0.125172,0.1308,70756,2022-05-05
247,0.1282,0.1277,234273310.762801,0.13,0.122949,0.127,51060,2022-05-06
248,0.1278,0.1275,261990160.129173,0.13253,0.12448,0.1281,52109,2022-05-07
249,0.1273,0.1241,174464230.267647,0.1284,0.12258,0.1253,39475,2022-05-08
250,0.1241,0.1019,657272324.408592,0.12534,0.1,0.113,112608,2022-05-09
251,0.1019,0.10811,674343381.431068,0.11843,0.0992,0.1095,112004,2022-05-10
252,0.1081,0.085,1319715938.86265,0.11108,0.0694,0.0918,217660,2022-05-11
253,0.0848,0.082627,1215699545.21193,0.089895,0.065,0.0793,206044,2022-05-12
254,0.082787,0.088,664873987.416329,0.096689,0.0817621,0.0905,126276,2022-05-13
255,0.088,0.0893,258981158.127018,0.092055,0.0834,0.088,66003,2022-05-14
256,0.0893,0.0931,195325682.4557,0.093244,0.0864,0.0894,55880,2022-05-15
257,0.093,0.0879,219434168.404639,0.093233,0.0857057,0.0882,57023,2022-05-16
258,0.0878,0.0901,237043776.530409,0.091411,0.0867,0.0893,49582,2022-05-17
259,0.090151,0.0833,304966968.516263,0.091029,0.082984,0.087,48197,2022-05-18
260,0.083371,0.0866,206542811.549779,0.087635,0.081291,0.0848,47393,2022-05-19
261,0.0865,0.0838,144661545.899085,0.088076,0.0824,0.0849,38545,2022-05-20
262,0.0837,0.0843,77272322.1926522,0.085471,0.0822,0.0841,27428,2022-05-21
263,0.0843,0.0858,82071099.6713387,0.086766,0.0837,0.0853,26264,2022-05-22
264,0.0858,0.0833,176369618.549697,0.08846,0.081978,0.0856,41999,2022-05-23
265,0.083355,0.0836,148076276.81342,0.084329,0.08,0.0826,34886,2022-05-24
266,0.0836,0.082959,129314211.276772,0.08451,0.082,0.0831,34259,2022-05-25
267,0.0828,0.0778,244103081.636883,0.0837,0.075,0.0788,51088,2022-05-26
268,0.0777,0.0815,574292613.949935,0.092626,0.0759,0.0816,97092,2022-05-27
269,0.0814,0.0818,179724919.558562,0.08335,0.080796,0.0818,41409,2022-05-28
270,0.0818,0.0826,122156019.143704,0.083331,0.0798,0.0816,31355,2022-05-29
271,0.0826,0.088,287186079.481538,0.088507,0.082,0.0856,54778,2022-05-30
272,0.088,0.085881,296151221.075453,0.0885,0.083,0.0862,51228,2022-05-31
273,0.0859,0.081,279662453.582127,0.089546,0.0787,0.0839,51331,2022-06-01
274,0.0809,0.08269,139299091.191663,0.083212,0.0799,0.0817,37041,2022-06-02
275,0.08269,0.08023,243643536.083454,0.083035,0.0792,0.0806,58676,2022-06-03
276,0.08022,0.08183,348912765.540875,0.082564,0.07925,0.081,64515,2022-06-04
277,0.08183,0.081,232712418.065674,0.082267,0.08053,0.0815,46882,2022-06-05
278,0.08102,0.08243,467163645.297417,0.084795,0.08079,0.0829,81909,2022-06-06
279,0.08242,0.0803,444184721.361873,0.082546,0.0776,0.0799,77185,2022-06-07
280,0.08031,0.07924,248946490.40298,0.081675,0.0787,0.08,56698,2022-06-08
281,0.07922,0.07931,168285927.894871,0.081145,0.07882,0.0797,37139,2022-06-09
282,0.07931,0.07532,234063239.275514,0.079794,0.07413,0.0768,44387,2022-06-10
283,0.0753,0.06983,430131531.076794,0.076603,0.06783,0.0715,60148,2022-06-11
284,0.06987,0.06341,508333959.308483,0.070397,0.06336,0.0663,71634,2022-06-12
285,0.0634,0.05417,1172151057.01994,0.066246,0.05221,0.0567,131869,2022-06-13
286,0.054164,0.055569,760500422.233771,0.058408,0.04973,0.0548,86461,2022-06-14
287,0.0555,0.06282,1034084231.90152,0.064062,0.05032,0.0555,109029,2022-06-15
288,0.06283,0.05516,684059295.903868,0.062831,0.05413,0.0575,93791,2022-06-16
289,0.05518,0.05683,392201134.976748,0.058176,0.05454,0.0566,67522,2022-06-17
290,0.056827,0.05282,676504917.599796,0.05783,0.049049,0.0531,86242,2022-06-18
291,0.052862,0.0604,919193128.057042,0.0629,0.05108,0.0574,120787,2022-06-19
292,0.060417,0.05994,406125727.447837,0.061451,0.05736,0.0593,70470,2022-06-20
293,0.05994,0.06572,834221122.642106,0.06988,0.058883,0.0651,118765,2022-06-21
294,0.06579,0.0615656,592121853.974381,0.06579,0.060942,0.0629,84452,2022-06-22
295,0.06163,0.06396,341933599.315476,0.0647,0.061459,0.0634,58490,2022-06-23
296,0.06395,0.0669,354846946.443191,0.06853,0.063818,0.0662,65138,2022-06-24
297,0.066948,0.0685,311531385.049572,0.06934,0.06504,0.0673,51709,2022-06-25
298,0.06849,0.07295,718828986.356735,0.07776,0.06709,0.0728,99204,2022-06-26
299,0.07294,0.07206,712611318.750799,0.078885,0.07047,0.0746,108203,2022-06-27
300,0.07208,0.06602,375696957.430146,0.073384,0.0653,0.0696,65837,2022-06-28
