WTER,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
757,20.7,20.7,80283.4,21.45,20.4,20.727,3482,2021-12-10 05:00:00
758,20.25,19.05,120208,20.55,18.75,19.377,5526,2021-12-13 05:00:00
759,18.9,18.9,56342.9333,19.5,18.6,18.96,3735,2021-12-14 05:00:00
760,19.8,20.1,136060.5333,20.1,17.7,18.921,5470,2021-12-15 05:00:00
761,20.55,19.2,75658.4667,20.55,18.45,19.098,3156,2021-12-16 05:00:00
762,19.05,20.7,107515.9333,20.7,18.6,19.977,3592,2021-12-17 05:00:00
763,20.55,20.1,102225.1333,20.85,19.5,19.9995,3222,2021-12-20 05:00:00
764,19.8,19.2,106912.8,20.4,18.75,19.2885,5155,2021-12-21 05:00:00
765,19.2,19.2,59650.8,19.8,18.75,19.158,3316,2021-12-22 05:00:00
766,19.05,19.35,44385.1333,19.5,18.9,19.1805,2072,2021-12-23 05:00:00
767,19.5735,18.9,65548.3333,19.8,18.75,19.0215,2478,2021-12-27 05:00:00
768,19.05,18.45,87069.2667,19.2,18.15,18.666,3012,2021-12-28 05:00:00
769,18.15,18.3,92960.8667,18.3,17.4,17.973,3978,2021-12-29 05:00:00
770,18.6,18.3,100133.3333,19.35,18.075,18.711,4846,2021-12-30 05:00:00
771,18.15,17.7,113535.2667,18.45,17.4,17.694,3649,2021-12-31 05:00:00
772,17.7,18.45,73526.8667,18.45,17.4,18.1155,3269,2022-01-03 05:00:00
773,18.6,18,78781.9333,18.75,17.4,17.8545,3240,2022-01-04 05:00:00
774,17.55,17.1,136775.0667,18.525,16.65,17.4705,5126,2022-01-05 05:00:00
775,17.4,17.1,103695.7333,17.55,16.5,16.797,3144,2022-01-06 05:00:00
776,17.1,17.4,73820.6,17.4,16.65,17.0085,3030,2022-01-07 05:00:00
777,17.4,17.25,94209.9333,17.4915,16.5,16.782,3509,2022-01-10 05:00:00
778,17.25,18,72262.8,18,16.95,17.457,2963,2022-01-11 05:00:00
779,18,17.7,39881.5333,18.2415,17.55,17.826,2092,2022-01-12 05:00:00
780,17.55,16.95,83302.1333,17.85,16.8,17.238,3227,2022-01-13 05:00:00
781,16.8,16.95,53976.1333,17.1,16.5,16.7595,2505,2022-01-14 05:00:00
782,17.1,17.1,97695.3333,17.7,16.65,17.1885,4657,2022-01-18 05:00:00
783,17.25,16.95,71806.1333,17.25,16.5,16.7955,2934,2022-01-19 05:00:00
784,16.95,16.65,49065.8,17.1,16.65,16.8945,2205,2022-01-20 05:00:00
785,16.95,16.05,131136.9333,17.175,15.6,16.437,4862,2022-01-21 05:00:00
786,15.75,16.05,139610.3333,16.2,15,15.3825,4094,2022-01-24 05:00:00
787,15.9,16.2,41723.7333,16.2,15.45,15.9105,2121,2022-01-25 05:00:00
788,16.05,15.3,65238.3333,16.5,15.3,15.864,3238,2022-01-26 05:00:00
789,15.75,15.15,88026.4,15.75,15,15.294,3128,2022-01-27 05:00:00
790,15,15.45,43710.4667,15.6,15,15.285,2039,2022-01-28 05:00:00
791,15.6,16.35,48284,16.5,15.6,16.149,2307,2022-01-31 05:00:00
792,16.5,16.5,32632.8667,16.95,15.9,16.4175,1720,2022-02-01 05:00:00
793,16.8,16.05,42372.4,16.8,15.9,16.098,2475,2022-02-02 05:00:00
794,15.75,15.15,74329.7333,15.9,15.15,15.4635,3056,2022-02-03 05:00:00
795,15.45,16.5,74100.6667,16.5,15.15,15.723,3425,2022-02-04 05:00:00
796,15.9,15.9,56458.7333,16.5,15.75,16.1505,3255,2022-02-07 05:00:00
797,15.75,16.2,36246.5333,16.5,15.75,16.269,1704,2022-02-08 05:00:00
798,16.05,17.25,78077.6667,17.4,16.05,16.8915,2698,2022-02-09 05:00:00
799,17.1,16.65,44756.3333,17.25,16.5,16.872,2130,2022-02-10 05:00:00
800,16.95,16.2,49298,17.1,15.9,16.566,2265,2022-02-11 05:00:00
801,15.9,15.3,74483.5333,16.2,15.3,15.5355,2769,2022-02-14 05:00:00
802,15.15,15.3,124883.0667,15.45,15,15.1485,4071,2022-02-15 05:00:00
803,15.15,15.15,60346.4,15.2715,14.7405,14.9835,2546,2022-02-16 05:00:00
804,15.15,13.833,166787.6667,15.15,13.1415,14.037,6462,2022-02-17 05:00:00
805,14.25,13.545,81494.2667,14.25,13.35,13.6965,2954,2022-02-18 05:00:00
806,13.485,12.531,99856.8667,13.485,12.45,12.8355,3236,2022-02-22 05:00:00
807,12.507,11.619,97498.2,13.05,11.55,12.06,4287,2022-02-23 05:00:00
808,10.425,12.351,96972.0667,12.45,10.2,11.5245,3941,2022-02-24 05:00:00
809,13.0035,12.8265,46736.6667,13.0035,12.45,12.729,1697,2022-02-25 05:00:00
810,12.75,13.5,40815.3333,13.5,12.4665,13.0365,1596,2022-02-28 05:00:00
811,13.368,12.7665,27285,13.5,12.75,13.0725,1965,2022-03-01 05:00:00
812,13.5,12.696,29335.9333,13.5,12.4935,12.7635,1241,2022-03-02 05:00:00
813,13.0395,12.048,36401.8,13.2,12,12.4755,2079,2022-03-03 05:00:00
814,12.486,11.52,40387.2,12.486,11.415,11.7075,2084,2022-03-04 05:00:00
815,11.4,11.8455,32080.4,11.9775,11.25,11.745,1416,2022-03-07 05:00:00
816,11.8455,11.397,50317.6667,12,11.295,11.676,1779,2022-03-08 05:00:00
817,11.4,11.9235,50857.9333,12.3,11.4,11.9685,1504,2022-03-09 05:00:00
818,11.7,11.805,20182.2667,12,11.55,11.73,896,2022-03-10 05:00:00
819,11.9115,11.781,33348.5333,12.15,11.625,11.877,1487,2022-03-11 05:00:00
820,11.25,12.3,40509.7333,12.3,11.25,11.5395,2122,2022-03-14 04:00:00
