TSLA,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
901,310.09,314.97,24335868,315.11,309.71,313.7554,300000,2022-04-04 04:00:00
902,313.27,310.88,23156719,314.865,309.87,311.7992,312602,2022-04-05 04:00:00
903,305.19,299.5,40110372,307,296.71,300.4693,548742,2022-04-06 04:00:00
904,296.66,301.37,31411155,303.65,296.35,300.9241,360492,2022-04-07 04:00:00
905,300.44,296.97,24361917,301.12,296.28,298.2833,309094,2022-04-08 04:00:00
906,291.79,285.26,34519264,292.61,285,286.8651,502222,2022-04-11 04:00:00
907,289.235,282.06,30966721,290.739,280.49,284.9687,435819,2022-04-12 04:00:00
908,282.73,287.62,21904429,288.58,281.3,285.8202,290613,2022-04-13 04:00:00
909,288.09,279.83,28221607,288.305,279.32,282.3705,381427,2022-04-14 04:00:00
910,278.91,280.52,20748800,282.46,278.34,280.1829,299125,2022-04-18 04:00:00
911,279.38,285.3,22297720,286.17,278.41,283.7503,312037,2022-04-19 04:00:00
912,289.4,286.36,22901807,289.7,285.3702,286.9915,313844,2022-04-20 04:00:00
913,288.58,280.81,29454587,293.3,280.06,285.5863,411095,2022-04-21 04:00:00
914,281.68,274.03,29405798,283.2,273.38,277.0631,455519,2022-04-22 04:00:00
915,273.29,280.72,35678852,281.11,270.77,276.9162,507837,2022-04-25 04:00:00
916,277.5,270.22,46512195,278.3599,270,273.1034,703111,2022-04-26 04:00:00
917,282.1,283.22,63468094,290.97,279.16,285.1692,823597,2022-04-27 04:00:00
918,285.185,289.63,33646570,290.98,281.4562,286.9376,448000,2022-04-28 04:00:00
919,288.61,277.52,37073923,289.88,276.5,281.5777,475254,2022-04-29 04:00:00
920,277.71,284.47,35127105,284.94,276.22,280.8292,501418,2022-05-02 04:00:00
921,283.96,281.78,25978605,284.13,280.15,281.9915,352891,2022-05-03 04:00:00
922,282.59,289.98,33598320,290.88,276.73,284.0704,460201,2022-05-04 04:00:00
923,285.54,277.35,43260386,286.35,274.34,277.791,593657,2022-05-05 04:00:00
924,274.805,274.73,37776182,279.25,271.27,274.9419,536610,2022-05-06 04:00:00
925,270.06,264.58,47725952,272.36,263.32,266.3383,649440,2022-05-09 04:00:00
926,271.69,269.5,39336424,273.75,265.07,269.8717,526747,2022-05-10 04:00:00
927,265.68,260.55,48975898,271.36,259.3,263.2184,633608,2022-05-11 04:00:00
928,257.69,255.35,51033802,259.88,250.02,254.7634,715930,2022-05-12 04:00:00
929,257.35,261.12,34918893,263.04,255.35,260.1715,452458,2022-05-13 04:00:00
930,259.955,261.5,32539933,265.82,255.78,260.8411,402395,2022-05-16 04:00:00
931,266.11,266.82,28828799,268.33,262.46,265.5584,346098,2022-05-17 04:00:00
932,263,254.08,31355985,263.6,252.77,256.42,414290,2022-05-18 04:00:00
933,253.9,253.14,32692286,257.67,251.88,254.4025,408722,2022-05-19 04:00:00
934,257.24,252.56,39164899,258.54,246.44,251.557,518558,2022-05-20 04:00:00
935,255.49,260.65,33175379,261.5,253.43,258.9217,386147,2022-05-23 04:00:00
936,257.89,259.62,29043904,261.33,253.5,257.8803,357104,2022-05-24 04:00:00
937,258.14,262.52,28547947,264.58,257.125,260.9506,340324,2022-05-25 04:00:00
938,262.27,265.9,25002105,267.11,261.4294,265.2818,297969,2022-05-26 04:00:00
939,268.48,273.24,26910824,273.34,267.56,271.6528,307860,2022-05-27 04:00:00
940,272.53,271.87,37827695,274.77,268.93,272.0011,363100,2022-05-31 04:00:00
941,275.195,272.42,25285874,277.69,270.04,273.3295,321548,2022-06-01 04:00:00
942,264.45,274.58,44008205,274.65,261.6,269.0219,532530,2022-06-02 04:00:00
943,270.31,270.02,28058958,273.45,268.41,270.3279,303810,2022-06-03 04:00:00
944,272.06,268.75,22397042,274.18,267.22,270.0763,260013,2022-06-06 04:00:00
945,266.635,272.5,22860677,273.13,265.94,270.6967,247047,2022-06-07 04:00:00
946,271.71,270.41,17372341,273,269.61,271.1519,234208,2022-06-08 04:00:00
947,267.78,264.79,26439728,272.7081,264.63,268.0203,301845,2022-06-09 04:00:00
948,260.58,252.99,31445841,260.58,252.53,254.9867,459375,2022-06-10 04:00:00
949,245.11,242.26,45913188,249.0242,241.53,244.2909,587062,2022-06-13 04:00:00
950,243.86,244.49,28651487,245.74,241.51,243.7922,370359,2022-06-14 04:00:00
951,248.31,251.76,33111729,255.3,246.42,250.6363,410433,2022-06-15 04:00:00
952,245.98,244.97,33169160,247.4174,243.02,244.875,437473,2022-06-16 04:00:00
953,244.7,247.65,43081680,250.5,244.03,247.3623,426273,2022-06-17 04:00:00
954,250.255,253.74,29928297,254.75,249.51,253.4288,325280,2022-06-21 04:00:00
955,251.89,253.13,25961215,257.17,250.37,254.1738,305208,2022-06-22 04:00:00
956,255.57,258.86,25861449,259.37,253.63,257.2249,317666,2022-06-23 04:00:00
957,261.808,267.7,33908991,267.98,261.72,265.9715,341714,2022-06-24 04:00:00
958,268.205,264.89,24615114,268.3,263.28,265.2573,288957,2022-06-27 04:00:00
959,263.98,256.48,27377747,266.91,256.32,259.1302,337120,2022-06-28 04:00:00
960,257.59,260.26,20069839,261.97,255.76,260.0577,267537,2022-06-29 04:00:00
961,257.05,256.83,31713368,259.53,252.9,256.7307,350608,2022-06-30 04:00:00
962,256.39,259.58,22837692,259.77,254.61,257.7792,298425,2022-07-01 04:00:00
963,256.16,262.85,22971634,262.98,254.74,259.6188,336748,2022-07-05 04:00:00
964,263.75,266.21,23809419,267.99,262.4,265.3515,297474,2022-07-06 04:00:00
965,265.12,268.4,20859874,269.055,265.02,267.941,279545,2022-07-07 04:00:00
966,264.79,267.66,19658751,268.1,263.285,266.3527,263735,2022-07-08 04:00:00
967,265.65,264.51,19497608,266.53,262.18,264.4908,233465,2022-07-11 04:00:00
968,265.88,253.67,35846600,265.94,252.04,256.3041,432650,2022-07-12 04:00:00
969,250.19,252.72,29497423,253.55,248.11,251.3602,388753,2022-07-13 04:00:00
970,250.57,254.08,25102823,255.1374,245.94,251.4169,338720,2022-07-14 04:00:00
971,255.72,256.72,29774050,260.3699,254.7727,257.0741,320549,2022-07-15 04:00:00
972,259.75,254.25,20975034,260.84,253.3,256.9949,259992,2022-07-18 04:00:00
973,257.575,259.53,25012562,259.72,253.68,257.9481,285207,2022-07-19 04:00:00
974,259.9,262.27,22788282,264.87,258.91,261.9933,292189,2022-07-20 04:00:00
975,259.79,264.84,22404675,264.89,257.03,262.0806,266470,2022-07-21 04:00:00
976,265.24,260.36,21880990,265.33,259.07,261.3876,275092,2022-07-22 04:00:00
977,260.995,258.83,21055998,261.5,256.81,258.5975,245812,2022-07-25 04:00:00
978,259.86,251.9,39322017,259.88,249.57,252.4793,523732,2022-07-26 04:00:00
979,261.16,268.74,45987389,270.05,258.85,265.6154,539330,2022-07-27 04:00:00
980,269.75,276.41,33459327,277.84,267.87,274.291,413167,2022-07-28 04:00:00
981,277.7,280.74,32138752,282,276.63,279.8359,359385,2022-07-29 04:00:00
982,277.82,278.01,21539580,281.28,275.84,278.4445,296190,2022-08-01 04:00:00
983,276,274.82,22754184,277.89,272.38,274.9038,302750,2022-08-02 04:00:00
984,276.76,282.47,23518874,283.5,276.61,281.282,305573,2022-08-03 04:00:00
985,281.8,283.65,18098668,283.8,280.1677,282.5465,242902,2022-08-04 04:00:00
986,279.15,282.91,16774606,283.65,278.68,281.721,240178,2022-08-05 04:00:00
987,284.05,280.32,18757818,285.92,279.32,282.0016,258506,2022-08-08 04:00:00
988,279.64,282.3,23405238,283.08,277.61,281.3194,264734,2022-08-09 04:00:00
989,288.17,289.16,24652845,289.81,286.94,288.6242,301911,2022-08-10 04:00:00
990,290.85,287.02,20065938,291.21,286.51,288.1876,250692,2022-08-11 04:00:00
991,288.48,291.91,22619675,291.91,286.94,289.9108,236645,2022-08-12 04:00:00
992,291,293.47,18053154,294.18,290.11,292.4294,220400,2022-08-15 04:00:00
993,291.99,292.71,18102882,294.04,290.42,292.4112,238194,2022-08-16 04:00:00
994,289.74,291.32,18203358,293.35,289.47,291.3739,243421,2022-08-17 04:00:00
995,290.189,290.17,17032192,291.91,289.08,290.5375,220664,2022-08-18 04:00:00
996,288.9,286.15,20570033,289.25,285.56,286.8317,242758,2022-08-19 04:00:00
997,282.08,277.75,25061070,282.46,277.22,278.8803,291816,2022-08-22 04:00:00
998,276.44,276.44,17527409,278.86,275.4,276.841,216859,2022-08-23 04:00:00
999,275.41,275.79,18137019,277.23,275.11,276.0336,225085,2022-08-24 04:00:00
1000,277.33,278.85,16583407,279.02,274.52,276.986,207794,2022-08-25 04:00:00
1001,279.08,268.09,27549307,280.34,267.98,271.1515,333187,2022-08-26 04:00:00
1002,265.85,265.23,20320044,267.4,263.85,265.6183,268266,2022-08-29 04:00:00
1003,266.67,262.97,22767071,267.05,260.66,262.964,273161,2022-08-30 04:00:00
1004,265.39,261.47,24791834,267.11,261.33,262.8825,273069,2022-08-31 04:00:00
1005,258.87,260.4,23263431,260.89,255.41,258.2566,332384,2022-09-01 04:00:00
1006,261.695,256.06,22855380,264.74,254.47,258.8321,308514,2022-09-02 04:00:00
1007,256.2,253.25,21328242,257.83,251.94,254.1903,295717,2022-09-06 04:00:00
1008,254.7,258.09,24126700,258.83,253.22,256.7283,259248,2022-09-07 04:00:00
1009,257.51,258.52,20319911,260.43,254.79,257.6878,256506,2022-09-08 04:00:00
1010,260.5,264.46,22093190,265.23,260.29,263.845,279508,2022-09-09 04:00:00
1011,265.78,266.65,18747690,267.45,265.16,266.392,230393,2022-09-12 04:00:00
1012,258.84,251.99,33353318,260.4,251.59,254.603,431420,2022-09-13 04:00:00
1013,253.53,252.22,23912954,254.23,249.86,252.032,303097,2022-09-14 04:00:00
1014,249.77,245.38,31530948,251.4,244.02,246.6039,437477,2022-09-15 04:00:00
1015,244.26,244.74,39758168,245.3,242.0627,243.9454,363897,2022-09-16 04:00:00
1016,242.465,244.52,26826931,245.14,240.85,243.2548,327277,2022-09-19 04:00:00
1017,242.065,242.45,26660299,243.51,239.64,241.8909,322476,2022-09-20 04:00:00
1018,244.27,238.95,28625557,247.66,238.9,242.6906,356095,2022-09-21 04:00:00
1019,237.8704,240.98,31058162,243.86,237.57,240.7113,368591,2022-09-22 04:00:00
1020,239.54,237.92,34126048,241.13,235.2,238.2822,402915,2022-09-23 04:00:00
1021,237.045,237.45,27435190,241.45,236.9,238.5748,298277,2022-09-26 04:00:00
1022,239.98,236.41,27018732,241.8,234.5,237.0677,313534,2022-09-27 04:00:00
1023,236.81,241.07,28969679,242.33,234.73,239.2601,321343,2022-09-28 04:00:00
1024,238.89,237.5,27467433,239.95,234.41,236.4609,324999,2022-09-29 04:00:00
1025,238.29,232.9,35692780,240.54,232.73,235.717,349460,2022-09-30 04:00:00
1026,235.41,240.74,28855357,241.61,234.66,238.9979,310569,2022-10-03 04:00:00
1027,245.09,248.88,34888416,250.36,244.975,248.3777,363475,2022-10-04 04:00:00
1028,245.99,249.2,20316136,250.58,244.1,247.5403,240366,2022-10-05 04:00:00
1029,247.93,246.79,20239886,250.34,246.08,247.8246,248352,2022-10-06 04:00:00
1030,240.902,234.24,37737102,241.32,233.17,235.5773,434172,2022-10-07 04:00:00
1031,233.05,229.25,29743608,234.559,226.73,229.7802,379327,2022-10-10 04:00:00
