AMPUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
237,0.02164,0.02116,175242245.160685,1.2075,0.02054,0.0217,27344,2022-04-26
238,0.02119,0.02156,229852261.078175,1.184,0.02064,0.0217,30367,2022-04-27
239,0.02156,0.02082,148649049.633051,1.2211,0.02077,0.0214,25041,2022-04-28
240,0.02082,0.02062,197344357.399749,1.2208,0.01994,0.021,26603,2022-04-29
241,0.0206,0.01933,140155880.895075,1.1406,0.01925,0.02,23251,2022-04-30
242,0.01933,0.01921,132412579.390761,1.0514,0.01883,0.0201,23365,2022-05-01
243,0.01924,0.01856,92483931.6686875,1.0527,0.01826,0.0198,18629,2022-05-02
244,0.01855,0.01808,114108789.939339,1.0525,0.01794,0.0185,18553,2022-05-03
245,0.0181,0.01937,125672244.447158,1.0782,0.01804,0.0192,22808,2022-05-04
246,0.01938,0.01784,125781715.528848,1.0818,0.01764,0.0198,34482,2022-05-05
247,0.01782,0.01796,101911891.112259,1.0677,0.01756,0.0187,57152,2022-05-06
248,0.01796,0.01781,82207189.6828638,1.0818,0.01773,0.0183,39185,2022-05-07
249,0.01781,0.01782,96779942.1478376,1.0661,0.01768,0.0183,37646,2022-05-08
250,0.01781,0.01333,726407361.035992,1.0624,0.01314,0.015,76734,2022-05-09
251,0.0133,0.01344,329097424.338796,1.1436,0.01305,0.0143,57235,2022-05-10
252,0.01344,0.01058,552234646.075187,1.1323,0.0102,0.0123,78891,2022-05-11
253,0.0106,0.012,564805293.384808,1.0282,0.00933,0.0111,91285,2022-05-12
254,0.01203,0.0135,422118231.12352,0.93454,0.01177,0.0136,71164,2022-05-13
255,0.0135,0.01376,233715164.28625,0.91365,0.01271,0.014,43310,2022-05-14
256,0.01379,0.01426,147800978.423528,0.93837,0.01288,0.0139,33946,2022-05-15
257,0.01423,0.01387,180237500.151103,0.93736,0.01293,0.0138,31234,2022-05-16
258,0.01387,0.01407,234730619.317071,0.93412,0.01356,0.0145,30052,2022-05-17
259,0.01411,0.01331,219683421.046323,0.92141,0.01304,0.014,28662,2022-05-18
260,0.0133,0.01368,120840091.566237,0.91566,0.01303,0.0139,26601,2022-05-19
261,0.01368,0.01308,133816042.5903,0.92155,0.01289,0.0134,25241,2022-05-20
262,0.01308,0.01331,78352398.3724345,0.9101,0.01282,0.0135,19169,2022-05-21
263,0.01331,0.01329,92957131.9435866,0.91365,0.0129,0.0136,20654,2022-05-22
264,0.01328,0.01287,193643948.003144,0.92501,0.01269,0.0134,26385,2022-05-23
265,0.01288,0.01327,142291002.950431,0.90982,0.01266,0.0137,25617,2022-05-24
266,0.01329,0.01278,121200546.436944,0.92281,0.01263,0.0132,24738,2022-05-25
267,0.01278,0.01228,117572733.362433,0.95245,0.01219,0.0138,27607,2022-05-26
268,0.01228,0.01145,138085072.98922,0.94401,0.01138,0.0122,27159,2022-05-27
269,0.01145,0.01166,64420383.9957862,0.90058,0.01136,0.013,20641,2022-05-28
270,0.01166,0.0118,60548877.4873176,0.92543,0.01144,0.0122,17341,2022-05-29
271,0.01181,0.01263,119666875.393296,0.96537,0.0117,0.0141,21769,2022-05-30
272,0.01263,0.01256,110498450.28836,0.98336,0.01199,0.0137,16837,2022-05-31
273,0.01256,0.01202,116800704.146391,1.0192,0.01181,0.0135,15455,2022-06-01
274,0.01202,0.01184,168927190.228668,0.99378,0.01138,0.0122,20576,2022-06-02
275,0.01182,0.01141,136070289.299843,0.99241,0.01117,0.0122,20707,2022-06-03
276,0.01142,0.01149,104050510.884027,0.98934,0.0112,0.0118,16144,2022-06-04
277,0.01148,0.01146,62092285.5171093,1.0621,0.01127,0.0141,13869,2022-06-05
278,1.0362,0.01186,111500202.402614,1.0595,0.01145,0.0122,17276,2022-06-06
279,0.01186,0.01159,102864419.218924,1.0381,0.01125,0.0118,17450,2022-06-07
280,0.01158,0.01113,134932674.02632,1.1581,0.01108,0.0127,19118,2022-06-08
281,0.01113,0.01112,87934689.6961717,1.1491,0.01102,0.0127,15624,2022-06-09
282,0.01113,0.01094,108439667.060366,1.0626,0.01081,0.0119,16202,2022-06-10
283,0.01094,0.01046,98707457.08264,1.0373,0.0104,0.0111,16173,2022-06-11
284,0.01047,0.01007,154935058.200783,0.99299,0.00995,0.0104,20014,2022-06-12
285,0.01009,0.00905,405306107.450635,0.95515,0.00887,0.0102,36195,2022-06-13
286,0.00905,0.00972,241494665.007643,0.8914,0.0086,0.0096,28772,2022-06-14
287,0.0097,0.00977,209531212.206131,0.88007,0.00875,0.0096,27482,2022-06-15
288,0.00977,0.00877,149587612.646148,0.84242,0.00872,0.0093,23004,2022-06-16
289,0.00877,0.00897,105196155.647511,0.82832,0.00877,0.0091,19706,2022-06-17
290,0.00895,0.00847,181373722.138677,0.81779,0.00789,0.0085,24461,2022-06-18
291,0.00847,0.00894,135526280.051748,0.84038,0.00816,0.0089,21539,2022-06-19
292,0.00895,0.79256,137867388.713169,0.86907,0.00842,0.0091,20302,2022-06-20
293,0.00903,0.00912,121189354.412621,0.84067,0.00891,0.0095,21380,2022-06-21
294,0.00912,0.00951,130974337.187551,0.82689,0.00868,0.0095,21359,2022-06-22
295,0.00952,0.00929,161318591.861923,0.84442,0.009,0.0095,24694,2022-06-23
296,0.00929,0.00941,175320641.65773,0.88934,0.00909,0.0096,26807,2022-06-24
297,0.00942,0.88297,89592193.7150699,0.88934,0.00927,0.0097,19927,2022-06-25
298,0.00936,0.0091,96415069.9929205,0.90332,0.00907,0.0096,19603,2022-06-26
299,0.0091,0.00899,105052833.428691,0.90332,0.00896,0.0092,17331,2022-06-27
300,0.00899,0.00876,79573358.3507977,1.0442,0.00872,0.0106,21725,2022-06-28
301,0.00876,0.00855,107474549.922739,1.0341,0.00849,0.0089,16120,2022-06-29
302,0.00856,0.01026,1015326627.36019,0.96493,0.0083,0.0116,71650,2022-06-30
303,0.01023,0.00943,647496747.924194,0.98009,0.00933,0.0102,48998,2022-07-01
304,0.00941,0.00912,176479936.644563,0.9938,0.00898,0.0092,20954,2022-07-02
305,0.00912,0.00915,315753074.511152,1.0148,0.00892,0.0095,26212,2022-07-03
306,0.00917,1.0684,118414577.327623,1.0806,0.009,0.0093,17174,2022-07-04
307,0.00937,0.00911,123607262.7674,1.1374,0.00897,0.0092,17041,2022-07-05
308,0.00911,0.00913,98889204.790887,1.1023,0.009,0.0091,17458,2022-07-06
309,0.00912,0.00931,197989242.983675,1.2354,0.00906,0.0094,19298,2022-07-07
310,0.00929,0.00914,132798625.933197,1.2588,0.00904,0.0093,18747,2022-07-08
311,0.00914,0.00913,132455564.600505,1.1759,0.00906,0.0092,15512,2022-07-09
312,0.00914,0.00916,232801922.631,1.1587,0.00902,0.0094,18005,2022-07-10
313,0.00917,0.00882,119276684.095719,1.0904,0.00873,0.0091,15607,2022-07-11
314,0.00884,0.00877,213444778.893806,1.0185,0.00872,0.0089,17816,2022-07-12
